timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-29 10:14:04.36177,pod-graph-mst-59c62wgg,,0.2,0.2
2023-03-29 10:14:07.420635,pod-graph-mst-59c62wgg,,0.2,0.2
2023-03-29 10:14:10.477425,pod-graph-mst-59c62wgg,,0.3,0.3
2023-03-29 10:14:13.533,pod-graph-mst-59c62wgg,,0.3,0.3
2023-03-29 10:14:16.588993,pod-graph-mst-59c62wgg,,0.45,0.45
2023-03-29 10:14:19.646504,pod-graph-mst-59c62wgg,,0.45,0.45
2023-03-29 10:14:22.700938,pod-graph-mst-59c62wgg,,0.675,0.675
2023-03-29 10:14:25.757444,pod-graph-mst-59c62wgg,,0.675,0.675
2023-03-29 10:14:28.813733,pod-graph-mst-59c62wgg,,0.824,0.824
2023-03-29 10:14:31.868138,pod-graph-mst-59c62wgg,,0.824,0.824
2023-03-29 10:14:34.946066,pod-graph-mst-59c62wgg,,0.925,0.925
2023-03-29 10:14:38.002207,pod-graph-mst-59c62wgg,,0.925,0.925
2023-03-29 10:14:41.057493,pod-graph-mst-59c62wgg,,0.867,0.867
2023-03-29 10:14:44.111447,pod-graph-mst-59c62wgg,,0.867,0.867
2023-03-29 10:14:47.172051,pod-graph-mst-59c62wgg,,0.543,0.543
2023-03-29 10:14:50.236668,pod-graph-mst-59c62wgg,,0.543,0.543
2023-03-29 10:14:53.3083,pod-graph-mst-59c62wgg,,0.413,0.413
2023-03-29 10:14:56.370669,pod-graph-mst-59c62wgg,,0.413,0.413
2023-03-29 10:14:59.436298,pod-graph-mst-59c62wgg,,0.304,0.304
2023-03-29 10:14:50.236668,pod-graph-mst-1244ols7,,1,1
2023-03-29 10:14:53.3083,pod-graph-mst-1244ols7,,0.378,0.378
2023-03-29 10:14:56.370669,pod-graph-mst-1244ols7,,0.378,0.378
2023-03-29 10:14:56.370669,pod-graph-mst-ieyoh54e,,1,1
2023-03-29 10:14:59.436298,pod-graph-mst-1244ols7,,0.2,0.2
2023-03-29 10:14:59.436298,pod-graph-mst-ieyoh54e,,0.2,0.2
2023-03-29 10:15:02.499692,pod-graph-mst-1244ols7,,0.2,0.2
2023-03-29 10:15:02.499692,pod-graph-mst-ieyoh54e,,0.2,0.2
2023-03-29 10:15:05.592684,pod-graph-mst-1244ols7,,0.2,0.2
2023-03-29 10:15:05.592684,pod-graph-mst-ieyoh54e,,0.2,0.2
2023-03-29 10:15:08.661223,pod-graph-mst-1244ols7,,0.2,0.2
