timestamp,node,function,namespace,community,latency,gpu
2023-03-29 21:39:28.885836,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,233,f
2023-03-29 21:39:29.999282,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,209,f
2023-03-29 21:39:31.09524,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,190,f
2023-03-29 21:39:32.193818,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,194,f
2023-03-29 21:39:33.284168,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,186,f
2023-03-29 21:39:34.304118,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,113,f
2023-03-29 21:39:35.304966,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,97,f
2023-03-29 21:39:36.30574,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,97,f
2023-03-29 21:39:37.307703,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,98,f
2023-03-29 21:39:38.283866,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,72,f
2023-03-29 21:39:48.280182,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:49.239782,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:50.199453,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:51.159779,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:52.120744,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-29 21:39:53.084884,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:54.044806,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:55.006178,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-29 21:39:55.965914,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,55,f
2023-03-29 21:39:56.936666,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,66,f
2023-03-29 21:39:57.909046,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,65,f
2023-03-29 21:40:12.641909,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,265,f
2023-03-29 21:40:13.781883,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,233,f
2023-03-29 21:40:14.979982,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,293,f
2023-03-29 21:40:16.039176,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,154,f
2023-03-29 21:40:17.062046,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,115,f
2023-03-29 21:40:18.181158,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,214,f
2023-03-29 21:40:19.16097,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,76,f
2023-03-29 21:40:20.160188,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-03-29 21:40:21.14691,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,83,f
2023-03-29 21:40:53.018566,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,58,f
2023-03-29 21:40:53.990723,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,67,f
2023-03-29 21:40:54.953791,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,58,f
2023-03-29 21:40:55.917036,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,58,f
2023-03-29 21:40:56.977406,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,151,f
2023-03-29 21:40:58.082825,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,201,f
2023-03-29 21:40:59.18117,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-29 21:41:00.278619,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,193,f
2023-03-29 21:41:01.258087,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,75,f
2023-03-29 21:41:02.257756,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,92,f
2023-03-29 21:41:03.437601,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,275,f
2023-03-29 21:41:04.551577,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,209,f
2023-03-29 21:41:05.650247,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,194,f
2023-03-29 21:41:06.611736,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 21:41:08.275256,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,71,f
2023-03-29 21:41:09.336985,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,157,f
2023-03-29 21:41:10.361202,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,120,f
2023-03-29 21:41:11.36128,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-03-29 21:41:12.093025,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 21:41:12.36048,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-03-29 21:41:13.061545,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,63,f
2023-03-29 21:41:13.361692,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-03-29 21:41:14.02246,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 21:41:14.36067,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
