timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 21:39:31.84275,ea-k3s-node-eu-west-2-1,"",dispatcher-t949m,default,1,0,0,""
2023-03-29 21:39:36.846178,ea-k3s-node-eu-west-2-1,"",delay-discovery-mjnql,default,0,0,0,""
2023-03-29 21:39:36.848474,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-m2lmf,kube-system,1,100,200,""
2023-03-29 21:39:36.853187,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ggth7,kube-system,0,0,0,""
2023-03-29 21:39:36.85528,k3s-master,"",delay-discovery-5x4mj,default,2,0,0,""
2023-03-29 21:39:36.857335,ea-k3s-node-eu-west-2-2,dynamic-html,dynamic-html-sasgeo48,openfaas-fn,1,200,200,community-3
2023-03-29 21:39:36.859416,ea-k3s-node-eu-west-2-2,compression,compression-ffpg7ti8,openfaas-fn,1,200,200,community-3
2023-03-29 21:39:36.861667,k3s-master,"",cpu-monitoring-7bbd5b549b-62skl,kube-system,17,0,0,""
2023-03-29 21:39:36.864066,k3s-master,"",local-path-provisioner-79c4646df5-bx2h6,kube-system,1,0,0,""
2023-03-29 21:39:36.866143,ea-k3s-node-eu-west-2-3,"",workload-5cb5f8bd4d-95bvf,default,14,0,0,""
2023-03-29 21:39:37.046178,k3s-master,"",flannel-fixer-deployment-5c468f87f8-hfdzj,kube-system,1,0,0,""
2023-03-29 21:39:37.245806,k3s-master,"",dispatcher-q8wl9,default,1,0,0,""
2023-03-29 21:39:37.446196,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zfzf,kube-system,0,0,0,""
2023-03-29 21:39:37.646691,ea-k3s-node-eu-west-2-2,"",delay-discovery-gc8cq,default,0,0,0,""
2023-03-29 21:39:37.845974,k3s-master,"",community-3-57bf999865-2pf7q,openfaas-fn,1,200,200,""
2023-03-29 21:39:38.046544,ea-k3s-node-eu-west-2-3,"",delay-discovery-pdwzx,default,0,0,0,""
2023-03-29 21:39:38.246091,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-qql6m,kube-system,11,0,0,""
2023-03-29 21:39:38.446856,ea-k3s-node-eu-west-2-3,"",dispatcher-qkfb9,default,1,0,0,""
2023-03-29 21:39:38.646278,k3s-master,"",metrics-server-c6799cf48-htjg4,kube-system,5,0,0,""
2023-03-29 21:39:38.846495,k3s-master,"",monitoring-747bdc64bc-rzgxj,default,0,0,0,""
2023-03-29 21:39:39.046471,ea-k3s-node-eu-west-2-2,"",dispatcher-c9kt5,default,1,0,0,""
2023-03-29 21:39:39.246108,ea-k3s-node-eu-west-2-1,"",dispatcher-t949m,default,1,0,0,""
2023-03-29 21:39:39.445658,k3s-master,"",svclb-traefik-k4z42,kube-system,0,0,0,""
2023-03-29 21:39:39.6462,ea-k3s-node-eu-west-2-2,thumbnailer,thumbnailer-7dmccf1l,openfaas-fn,1,300,300,community-3
2023-03-29 21:39:39.846705,k3s-master,"",custom-metrics-apiserver-8586695c47-7v5pv,custom-metrics,6,200,200,""
