timestamp,node,function,namespace,community,latency,gpu
2023-03-29 18:56:06.623674,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,26,f
2023-03-29 18:56:07.62667,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 18:56:08.625611,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:09.62467,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 18:56:10.623307,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:11.623621,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 18:56:12.626596,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-29 18:56:13.625886,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 18:56:14.59939,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,69,f
2023-03-29 18:56:15.529879,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,26,f
2023-03-29 18:56:21.031958,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-29 18:56:22.031534,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:23.026265,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 18:56:24.02558,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:25.024474,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:26.025763,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 18:56:27.024895,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:28.024592,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 18:56:29.023216,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:30.022429,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:31.022663,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 18:56:32.026098,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 18:56:33.024593,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:34.023649,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:35.026018,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 18:56:40.52527,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-29 18:56:41.5249,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:42.524153,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:43.523355,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-29 18:56:44.526652,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 18:56:45.52356,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,86,f
2023-03-29 18:56:46.527531,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
