timestamp,node,function,namespace,community,latency,gpu
2023-03-29 20:11:14.425525,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,205,f
2023-03-29 20:11:15.435671,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,105,f
2023-03-29 20:11:16.442937,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-29 20:11:17.429606,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,82,f
2023-03-29 20:11:18.432895,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 20:11:19.429552,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,87,f
2023-03-29 20:11:20.436127,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-29 20:11:21.445242,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,105,f
2023-03-29 20:11:22.440951,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,91,f
2023-03-29 20:11:23.443329,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-29 20:11:24.436408,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,83,f
2023-03-29 20:11:25.436255,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 20:11:26.436534,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 20:11:27.444313,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,103,f
2023-03-29 20:11:28.436424,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,87,f
2023-03-29 20:11:33.94033,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,70,f
2023-03-29 20:11:34.935054,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 20:11:35.938388,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-29 20:11:36.933752,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 20:11:37.936678,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-29 20:11:38.939869,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,93,f
2023-03-29 20:11:39.943659,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-29 20:11:40.934574,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,86,f
2023-03-29 20:11:41.937689,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-29 20:11:42.937007,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 20:11:43.937354,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-29 20:11:44.936145,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-29 20:11:46.030073,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,190,f
2023-03-29 20:11:47.122804,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,188,f
2023-03-29 20:11:48.222583,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,195,f
2023-03-29 20:11:58.236233,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,55,f
2023-03-29 20:11:59.231557,dynamic-html,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,91,f
