timestamp,node,function,namespace,community,latency,gpu
2023-03-29 00:37:01.431961,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,768,f
2023-03-29 00:37:02.724865,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,387,f
2023-03-29 00:37:04.025876,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,396,f
2023-03-29 00:37:05.325596,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,395,f
2023-03-29 00:37:06.436566,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,205,f
2023-03-29 00:37:07.92694,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,578,f
2023-03-29 00:37:09.041617,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,207,f
2023-03-29 00:37:10.217165,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,268,f
2023-03-29 00:37:11.342473,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,219,f
2023-03-29 00:37:12.416827,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,168,f
2023-03-29 00:37:13.518776,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,190,f
2023-03-29 00:37:14.556994,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,130,f
2023-03-29 00:37:15.614888,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,152,f
2023-03-29 00:37:16.656736,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,135,f
2023-03-29 00:37:17.657454,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-29 00:37:23.180686,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:24.175499,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-29 00:37:25.171433,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:26.170212,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-29 00:37:27.167291,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:37:28.169228,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:29.168113,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:30.165925,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:31.163617,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:32.161497,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:33.163475,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:37:34.159296,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:35.156449,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:37:36.151884,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:37:37.151717,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,95,f
2023-03-29 00:37:38.802036,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,739,f
2023-03-29 00:37:40.099288,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,390,f
2023-03-29 00:37:41.795998,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,791,f
2023-03-29 00:37:42.796464,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-29 00:37:43.795318,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:37:49.324543,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:37:50.395834,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,165,f
2023-03-29 00:37:51.433187,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,131,f
2023-03-29 00:37:52.430653,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 00:37:53.433713,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,98,f
2023-03-29 00:38:03.481883,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,91,f
2023-03-29 00:38:04.480116,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,91,f
2023-03-29 00:38:05.476736,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:38:06.472538,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,90,f
2023-03-29 00:38:07.468659,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,90,f
2023-03-29 00:38:08.471228,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,92,f
2023-03-29 00:38:09.469755,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 00:38:10.466166,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:38:11.461878,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 00:38:12.456888,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,91,f
2023-03-29 00:38:13.461358,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 00:38:14.459794,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 00:38:15.454649,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,90,f
2023-03-29 00:38:16.45081,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,90,f
2023-03-29 00:38:17.450132,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-29 00:38:18.453575,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 00:38:19.449902,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,90,f
2023-03-29 00:38:20.446656,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-29 00:38:21.444067,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 00:38:22.439677,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
