timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 00:36:51.012411,ea-k3s-node-eu-west-2-3,graph-bfs,graph-bfs-q5s0miwn,openfaas-fn,1,200,200,community-2
2023-03-29 00:36:51.213767,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 00:36:51.413587,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 00:36:51.613504,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 00:36:51.812896,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,5,0,0,""
2023-03-29 00:36:52.213939,k3s-master,"",delay-discovery-c8ksz,default,2,0,0,""
2023-03-29 00:36:52.413892,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 00:36:52.613677,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 00:36:52.813312,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 00:36:53.014095,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 00:36:53.213835,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 00:36:53.41353,k3s-master,"",dispatcher-f7fp6,default,1,0,0,""
2023-03-29 00:36:53.61344,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 00:36:53.813264,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,5,0,0,""
2023-03-29 00:36:54.01396,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,14,0,0,""
2023-03-29 00:36:54.214153,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 00:36:54.413941,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,2,0,0,""
2023-03-29 00:36:54.614011,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 00:36:54.813427,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,4,100,200,""
2023-03-29 00:36:59.81732,ea-k3s-node-eu-west-2-3,graph-bfs,graph-bfs-q5s0miwn,openfaas-fn,1,200,200,community-2
2023-03-29 00:36:59.818547,ea-k3s-node-eu-west-2-1,"",dispatcher-gd7fq,default,1,0,0,""
2023-03-29 00:36:59.819745,k3s-master,"",custom-metrics-apiserver-8586695c47-wskng,custom-metrics,3,200,200,""
2023-03-29 00:36:59.820856,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 00:36:59.822227,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 00:36:59.823526,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 00:36:59.825758,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,5,0,0,""
2023-03-29 00:36:59.827983,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 00:36:59.829735,k3s-master,"",delay-discovery-c8ksz,default,2,0,0,""
2023-03-29 00:37:00.017119,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 00:37:00.216324,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 00:37:00.41706,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 00:37:00.616999,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 00:37:00.81695,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 00:37:01.016698,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,2,0,0,""
2023-03-29 00:37:01.217276,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 00:37:01.416792,k3s-master,"",dispatcher-f7fp6,default,1,0,0,""
2023-03-29 00:37:01.616375,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 00:37:01.817221,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,5,0,0,""
2023-03-29 00:37:02.017143,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,14,0,0,""
2023-03-29 00:37:02.216986,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,4,100,200,""
2023-03-29 00:37:02.418253,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bpxct,default,10,0,0,""
2023-03-29 00:37:02.618225,ea-k3s-node-eu-west-2-2,"",dispatcher-7mv6d,default,1,0,0,""
2023-03-29 00:37:02.818288,k3s-master,"",community-2-676fc9656c-5hcqq,openfaas-fn,1,200,200,""
2023-03-29 00:37:03.017912,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-97d776676-wv2kt,default,1,500,1000,""
2023-03-29 00:37:03.217868,k3s-master,"",svclb-traefik-h88wx,kube-system,0,0,0,""
2023-03-29 00:37:03.417746,ea-k3s-node-eu-west-2-1,"",svclb-traefik-jh5d8,kube-system,0,0,0,""
2023-03-29 00:37:03.618057,k3s-master,"",traefik-7f48667fb9-zwhjr,kube-system,4,0,0,""
2023-03-29 00:37:03.817898,ea-k3s-node-eu-west-2-3,"",svclb-traefik-gczkc,kube-system,0,0,0,""
2023-03-29 00:37:08.82107,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,5,0,0,""
2023-03-29 00:37:08.826521,k3s-master,"",delay-discovery-c8ksz,default,2,0,0,""
2023-03-29 00:37:08.828706,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 00:37:08.830707,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 00:37:08.83277,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 00:37:08.834668,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 00:37:08.836769,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 00:37:08.8386,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 00:37:08.840557,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,5,0,0,""
2023-03-29 00:37:09.02319,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,14,0,0,""
2023-03-29 00:37:09.222709,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 00:37:09.422838,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,2,0,0,""
2023-03-29 00:37:09.622761,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 00:37:09.823046,k3s-master,"",dispatcher-f7fp6,default,1,0,0,""
2023-03-29 00:38:15.849147,ea-k3s-node-eu-west-2-1,graph-bfs,graph-bfs-kjqd725m,openfaas-fn,0,1504,1504,community-2
2023-03-29 00:37:10.022801,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,4,100,200,""
2023-03-29 00:37:10.221135,k3s-master,"",svclb-traefik-h88wx,kube-system,0,0,0,""
2023-03-29 00:37:10.42121,ea-k3s-node-eu-west-2-1,"",svclb-traefik-jh5d8,kube-system,0,0,0,""
2023-03-29 00:37:10.621339,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bpxct,default,10,0,0,""
2023-03-29 00:37:10.822178,ea-k3s-node-eu-west-2-2,"",dispatcher-7mv6d,default,1,0,0,""
2023-03-29 00:37:11.021986,k3s-master,"",community-2-676fc9656c-5hcqq,openfaas-fn,1,200,200,""
2023-03-29 00:37:11.221498,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-97d776676-wv2kt,default,1,500,1000,""
2023-03-29 00:37:11.421144,k3s-master,"",traefik-7f48667fb9-zwhjr,kube-system,4,0,0,""
2023-03-29 00:37:11.621944,ea-k3s-node-eu-west-2-3,"",svclb-traefik-gczkc,kube-system,0,0,0,""
2023-03-29 00:37:11.82267,ea-k3s-node-eu-west-2-1,"",dispatcher-gd7fq,default,1,0,0,""
2023-03-29 00:37:12.022544,k3s-master,"",custom-metrics-apiserver-8586695c47-wskng,custom-metrics,3,200,200,""
2023-03-29 00:37:12.222299,ea-k3s-node-eu-west-2-3,graph-bfs,graph-bfs-q5s0miwn,openfaas-fn,1,300,300,community-2
2023-03-29 00:37:12.422266,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 00:37:12.623277,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 00:37:12.823169,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 00:37:17.827595,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,5,0,0,""
2023-03-29 00:37:17.830797,k3s-master,"",delay-discovery-c8ksz,default,2,0,0,""
2023-03-29 00:37:17.832015,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 00:37:17.833181,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 00:37:17.834254,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 00:37:17.835428,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 00:37:17.836624,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 00:37:17.837899,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 00:37:17.83904,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,5,0,0,""
2023-03-29 00:37:18.026941,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,14,0,0,""
2023-03-29 00:37:18.227956,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
