timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-29 08:53:29.033758,pod-graph-mst-9nym6vwz,,0.2,0.2
2023-03-29 08:53:32.083968,pod-graph-mst-9nym6vwz,,0.2,0.2
2023-03-29 08:53:35.158629,pod-graph-mst-9nym6vwz,,0.2,0.2
2023-03-29 08:53:38.209934,pod-graph-mst-9nym6vwz,,0.3,0.3
2023-03-29 08:53:41.260619,pod-graph-mst-9nym6vwz,,0.3,0.3
2023-03-29 08:53:44.310771,pod-graph-mst-9nym6vwz,,0.45,0.45
2023-03-29 08:53:47.361196,pod-graph-mst-9nym6vwz,,0.45,0.45
2023-03-29 08:53:50.411706,pod-graph-mst-9nym6vwz,,0.668,0.668
2023-03-29 08:53:53.462009,pod-graph-mst-9nym6vwz,,0.668,0.668
2023-03-29 08:53:56.510265,pod-graph-mst-9nym6vwz,,0.833,0.833
2023-03-29 08:53:59.563791,pod-graph-mst-9nym6vwz,,0.833,0.833
2023-03-29 08:54:02.61604,pod-graph-mst-9nym6vwz,,0.959,0.959
2023-03-29 08:54:05.685691,pod-graph-mst-9nym6vwz,,0.959,0.959
2023-03-29 08:54:08.737202,pod-graph-mst-9nym6vwz,,0.892,0.892
2023-03-29 08:54:11.788765,pod-graph-mst-9nym6vwz,,0.892,0.892
2023-03-29 08:54:14.842531,pod-graph-mst-9nym6vwz,,0.665,0.665
2023-03-29 08:54:17.893928,pod-graph-mst-9nym6vwz,,0.665,0.665
2023-03-29 08:54:20.944359,pod-graph-mst-9nym6vwz,,0.335,0.335
2023-03-29 08:54:23.996039,pod-graph-mst-9nym6vwz,,0.335,0.335
2023-03-29 08:54:27.049948,pod-graph-mst-9nym6vwz,,0.2,0.2
2023-03-29 08:54:30.100847,pod-graph-mst-9nym6vwz,,0.2,0.2
2023-03-29 08:54:33.172637,pod-graph-mst-9nym6vwz,,0.3,0.3
2023-03-29 08:54:36.223342,pod-graph-mst-9nym6vwz,,0.3,0.3
