timestamp,node,function,namespace,community,latency,gpu
2023-03-29 21:26:19.638616,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,128,f
2023-03-29 21:26:20.732108,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,188,f
2023-03-29 21:26:21.82161,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,184,f
2023-03-29 21:26:22.841819,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,116,f
2023-03-29 21:26:23.842981,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:29.3319,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,56,f
2023-03-29 21:26:30.328321,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-29 21:26:31.328165,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:32.329066,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:33.329281,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:34.327402,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,88,f
2023-03-29 21:26:35.328167,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,97,f
2023-03-29 21:26:36.324219,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-29 21:26:37.325575,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,97,f
2023-03-29 21:26:38.32582,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:39.328479,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-29 21:26:40.324605,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-29 21:26:41.325236,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:42.326282,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-29 21:26:43.322714,thumbnailer,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
