timestamp,node,function,namespace,community,latency,gpu
2023-03-29 10:33:55.702258,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,188,f
2023-03-29 10:33:56.803499,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,196,f
2023-03-29 10:33:57.905896,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,197,f
2023-03-29 10:33:58.919148,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,109,f
2023-03-29 10:33:59.9208,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-29 10:34:00.912833,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,84,f
2023-03-29 10:34:01.914953,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-29 10:34:02.912254,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-29 10:34:03.913605,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,96,f
2023-03-29 10:34:04.913321,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,96,f
2023-03-29 10:34:05.915291,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-29 10:34:06.907479,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,87,f
2023-03-29 10:34:07.908477,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,96,f
2023-03-29 10:34:08.905365,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-29 10:34:09.90698,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-29 10:34:10.91075,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,95,f
2023-03-29 10:34:11.904037,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,88,f
2023-03-29 10:34:12.906011,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-29 10:34:13.902565,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,92,f
2023-03-29 10:34:14.903515,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-29 10:34:24.90384,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,49,f
2023-03-29 10:34:25.853762,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,45,f
2023-03-29 10:34:26.802888,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,44,f
2023-03-29 10:34:27.751417,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,44,f
2023-03-29 10:34:28.711352,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,56,f
2023-03-29 10:34:29.703475,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,83,f
2023-03-29 10:34:30.703566,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,95,f
2023-03-29 10:34:31.70824,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,100,f
2023-03-29 10:34:32.708682,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,96,f
2023-03-29 10:34:33.706246,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-29 10:34:34.803545,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,189,f
2023-03-29 10:34:35.816157,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,108,f
