timestamp,node,function,namespace,community,latency,gpu
2023-04-03 06:15:43.330817,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,763,f
2023-04-03 06:15:44.637942,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,399,f
2023-04-03 06:15:45.829663,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,285,f
2023-04-03 06:15:47.032554,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,297,f
2023-04-03 06:15:48.224181,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,285,f
2023-04-03 06:15:49.417065,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,281,f
2023-04-03 06:15:50.620183,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,298,f
2023-04-03 06:15:51.730153,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,204,f
2023-04-03 06:15:52.826581,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,190,f
2023-04-03 06:15:53.864732,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,131,f
2023-04-03 06:15:54.92417,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,150,f
2023-04-03 06:15:56.022086,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,190,f
2023-04-03 06:15:57.063954,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,136,f
2023-04-03 06:15:58.071544,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,101,f
2023-04-03 06:15:59.074679,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:04.60098,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,98,f
2023-04-03 06:16:05.603467,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-04-03 06:16:06.607502,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:07.611485,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:08.610543,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,93,f
2023-04-03 06:16:09.61306,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,93,f
2023-04-03 06:16:10.617391,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:11.61854,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-04-03 06:16:12.621286,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:13.624347,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:14.631967,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:15.636547,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:16.640067,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:17.644493,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,98,f
2023-04-03 06:16:18.648376,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:19.655024,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:20.658849,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:21.661916,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:22.665369,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,98,f
2023-04-03 06:16:23.666831,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-04-03 06:16:24.673469,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:25.677217,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:26.681773,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:27.6855,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,98,f
2023-04-03 06:16:28.687194,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-04-03 06:16:34.21319,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,95,f
2023-04-03 06:16:35.217674,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-04-03 06:16:36.217799,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,94,f
