timestamp,node,function,namespace,community,latency,gpu
2023-04-03 08:20:46.062693,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,237,f
2023-04-03 08:20:47.260285,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,293,f
2023-04-03 08:20:48.460227,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,295,f
2023-04-03 08:20:49.660847,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,296,f
2023-04-03 08:20:50.779707,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,213,f
2023-04-03 08:20:51.77997,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-04-03 08:20:52.870253,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,184,f
2023-04-03 08:20:53.888102,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,112,f
2023-04-03 08:20:54.959349,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,166,f
2023-04-03 08:20:55.988859,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,124,f
2023-04-03 08:20:57.058862,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,161,f
2023-04-03 08:20:58.082535,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,120,f
2023-04-03 08:20:59.07924,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,92,f
2023-04-03 08:21:00.071392,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,88,f
2023-04-03 08:21:01.072827,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,97,f
2023-04-03 08:21:06.562657,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,63,f
2023-04-03 08:21:07.530031,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,63,f
2023-04-03 08:21:08.498324,graph-mst,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,63,f
