timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 11:49:01.609115,ea-k3s-node-eu-west-1-2,"",delay-discovery-djs58,default,0,0,0,""
2023-03-29 11:49:01.809654,ea-k3s-node-eu-west-1-1,compression,compression-t33lvpek,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:02.00911,k3s-master,"",custom-metrics-apiserver-8586695c47-hl472,custom-metrics,5,200,200,""
2023-03-29 11:49:02.209064,k3s-master,"",metrics-server-c6799cf48-8gkjk,kube-system,5,0,0,""
2023-03-29 11:49:02.409549,k3s-master,"",delay-discovery-kvzls,default,0,0,0,""
2023-03-29 11:49:02.609813,ea-k3s-node-eu-west-1-3,"",dispatcher-9p2pv,default,1,0,0,""
2023-03-29 11:49:02.809328,k3s-master,"",flannel-fixer-deployment-5c468f87f8-gsbpn,kube-system,1,0,0,""
2023-03-29 11:49:03.009872,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-86ccb8bbdf-zkgsl,default,1,500,1000,""
2023-03-29 11:49:03.208947,k3s-master,"",cpu-monitoring-7bbd5b549b-v28t8,kube-system,11,0,0,""
2023-03-29 11:49:03.409068,k3s-master,"",traefik-7f48667fb9-cwzqf,kube-system,4,0,0,""
2023-03-29 11:49:08.412502,k3s-master,"",community-2-676fc9656c-js7n2,openfaas-fn,1,200,200,""
2023-03-29 11:49:08.4138,k3s-master,"",pod-autoscaler-76b6884b54-5ff5v,kube-system,1,500,500,""
2023-03-29 11:49:08.416149,ea-k3s-node-eu-west-1-3,"",delay-discovery-ktcxx,default,0,0,0,""
2023-03-29 11:49:08.417331,ea-k3s-node-eu-west-1-1,"",delay-discovery-8fgk5,default,0,0,0,""
2023-03-29 11:49:08.418472,k3s-master,"",metrics-server-c6799cf48-8gkjk,kube-system,5,0,0,""
2023-03-29 11:49:08.419592,k3s-master,"",delay-discovery-kvzls,default,0,0,0,""
2023-03-29 11:49:08.421158,ea-k3s-node-eu-west-1-3,"",metrics-database-6c5586d74-rd4dg,kube-system,7,0,0,""
2023-03-29 11:49:08.422282,ea-k3s-node-eu-west-1-2,"",delay-discovery-djs58,default,0,0,0,""
2023-03-29 11:49:08.423475,ea-k3s-node-eu-west-1-1,compression,compression-t33lvpek,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:08.612076,k3s-master,"",custom-metrics-apiserver-8586695c47-hl472,custom-metrics,5,200,200,""
2023-03-29 11:49:08.812219,k3s-master,"",cpu-monitoring-7bbd5b549b-v28t8,kube-system,11,0,0,""
2023-03-29 11:49:09.012609,k3s-master,"",traefik-7f48667fb9-cwzqf,kube-system,4,0,0,""
2023-03-29 11:49:09.211419,ea-k3s-node-eu-west-1-3,"",dispatcher-9p2pv,default,1,0,0,""
2023-03-29 11:49:09.411294,k3s-master,"",flannel-fixer-deployment-5c468f87f8-gsbpn,kube-system,1,0,0,""
2023-03-29 11:49:09.611846,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-86ccb8bbdf-zkgsl,default,1,500,1000,""
2023-03-29 11:49:09.81316,k3s-master,"",dispatcher-h6rbk,default,1,0,0,""
2023-03-29 11:49:10.013175,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-5ksrw,kube-system,1,100,200,""
2023-03-29 11:49:10.213146,ea-k3s-node-eu-west-1-3,"",svclb-traefik-t75k6,kube-system,0,0,0,""
2023-03-29 11:49:10.413543,ea-k3s-node-eu-west-1-1,"",dispatcher-mp945,default,1,0,0,""
2023-03-29 11:49:10.613611,ea-k3s-node-eu-west-1-2,"",workload-5cb5f8bd4d-6bm2d,default,61,0,0,""
2023-03-29 11:49:10.813712,ea-k3s-node-eu-west-1-2,"",svclb-traefik-kj9ln,kube-system,0,0,0,""
2023-03-29 11:49:11.013105,ea-k3s-node-eu-west-1-1,"",svclb-traefik-zr6db,kube-system,0,0,0,""
2023-03-29 11:49:11.21305,ea-k3s-node-eu-west-1-3,dynamic-html,dynamic-html-b9604le1,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:11.412672,k3s-master,"",coredns-5b5bf59798-7hkvw,kube-system,3,0,0,""
2023-03-29 11:49:11.612832,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-wk8w8,default,1,100,200,""
2023-03-29 11:49:11.81261,k3s-master,"",local-path-provisioner-79c4646df5-w5w8h,kube-system,2,0,0,""
2023-03-29 11:49:12.012687,k3s-master,"",svclb-traefik-xl9z9,kube-system,0,0,0,""
2023-03-29 11:49:12.213244,ea-k3s-node-eu-west-1-2,"",dispatcher-jnxpb,default,1,0,0,""
2023-03-29 11:49:12.413378,k3s-master,"",monitoring-747bdc64bc-x7z6k,default,0,0,0,""
2023-03-29 11:49:12.613689,k3s-master,"",podscale-controller-57f68c67fc-h7bw8,kube-system,4,100,200,""
2023-03-29 11:49:12.813249,ea-k3s-node-eu-west-1-1,thumbnailer,thumbnailer-q8qwdwan,openfaas-fn,11,408,408,community-2
2023-03-29 11:49:17.816105,ea-k3s-node-eu-west-1-3,"",svclb-traefik-t75k6,kube-system,0,0,0,""
2023-03-29 11:49:17.817725,k3s-master,"",dispatcher-h6rbk,default,1,0,0,""
2023-03-29 11:49:17.819263,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-5ksrw,kube-system,1,100,200,""
2023-03-29 11:49:17.820473,ea-k3s-node-eu-west-1-2,"",svclb-traefik-kj9ln,kube-system,0,0,0,""
2023-03-29 11:49:17.821676,ea-k3s-node-eu-west-1-1,"",dispatcher-mp945,default,1,0,0,""
2023-03-29 11:49:17.822837,ea-k3s-node-eu-west-1-2,"",workload-5cb5f8bd4d-6bm2d,default,61,0,0,""
2023-03-29 11:49:17.823962,k3s-master,"",coredns-5b5bf59798-7hkvw,kube-system,3,0,0,""
2023-03-29 11:49:17.825516,ea-k3s-node-eu-west-1-1,"",svclb-traefik-zr6db,kube-system,0,0,0,""
2023-03-29 11:49:17.827162,ea-k3s-node-eu-west-1-3,dynamic-html,dynamic-html-b9604le1,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:17.828337,k3s-master,"",monitoring-747bdc64bc-x7z6k,default,0,0,0,""
2023-03-29 11:49:18.016632,k3s-master,"",podscale-controller-57f68c67fc-h7bw8,kube-system,4,100,200,""
2023-03-29 11:49:18.217267,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-wk8w8,default,1,100,200,""
2023-03-29 11:49:18.416377,k3s-master,"",local-path-provisioner-79c4646df5-w5w8h,kube-system,2,0,0,""
2023-03-29 11:49:18.61626,k3s-master,"",svclb-traefik-xl9z9,kube-system,0,0,0,""
2023-03-29 11:49:18.816831,ea-k3s-node-eu-west-1-2,"",dispatcher-jnxpb,default,1,0,0,""
2023-03-29 11:49:19.016601,ea-k3s-node-eu-west-1-1,thumbnailer,thumbnailer-q8qwdwan,openfaas-fn,11,492,492,community-2
2023-03-29 11:49:19.21785,k3s-master,"",community-2-676fc9656c-js7n2,openfaas-fn,1,200,200,""
2023-03-29 11:49:19.417982,ea-k3s-node-eu-west-1-1,"",delay-discovery-8fgk5,default,0,0,0,""
2023-03-29 11:49:19.618169,k3s-master,"",pod-autoscaler-76b6884b54-5ff5v,kube-system,2,500,500,""
2023-03-29 11:49:20.018156,ea-k3s-node-eu-west-1-3,"",delay-discovery-ktcxx,default,0,0,0,""
2023-03-29 11:49:20.217397,ea-k3s-node-eu-west-1-1,compression,compression-t33lvpek,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:20.417471,k3s-master,"",custom-metrics-apiserver-8586695c47-hl472,custom-metrics,5,200,200,""
2023-03-29 11:49:20.617387,k3s-master,"",metrics-server-c6799cf48-8gkjk,kube-system,5,0,0,""
2023-03-29 11:49:20.818926,k3s-master,"",delay-discovery-kvzls,default,0,0,0,""
2023-03-29 11:49:21.017808,ea-k3s-node-eu-west-1-3,"",metrics-database-6c5586d74-rd4dg,kube-system,107,0,0,""
2023-03-29 11:49:21.21781,ea-k3s-node-eu-west-1-2,"",delay-discovery-djs58,default,0,0,0,""
2023-03-29 11:49:21.417975,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-86ccb8bbdf-zkgsl,default,1,500,1000,""
2023-03-29 11:49:21.617433,k3s-master,"",cpu-monitoring-7bbd5b549b-v28t8,kube-system,15,0,0,""
2023-03-29 11:49:21.817819,k3s-master,"",traefik-7f48667fb9-cwzqf,kube-system,4,0,0,""
2023-03-29 11:49:22.017943,ea-k3s-node-eu-west-1-3,"",dispatcher-9p2pv,default,1,0,0,""
2023-03-29 11:49:22.217929,k3s-master,"",flannel-fixer-deployment-5c468f87f8-gsbpn,kube-system,1,0,0,""
2023-03-29 11:49:27.221373,ea-k3s-node-eu-west-1-1,"",svclb-traefik-zr6db,kube-system,0,0,0,""
2023-03-29 11:49:27.223852,ea-k3s-node-eu-west-1-3,dynamic-html,dynamic-html-b9604le1,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:27.226028,k3s-master,"",coredns-5b5bf59798-7hkvw,kube-system,3,0,0,""
2023-03-29 11:49:27.228041,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-wk8w8,default,1,100,200,""
2023-03-29 11:49:27.230904,k3s-master,"",local-path-provisioner-79c4646df5-w5w8h,kube-system,2,0,0,""
2023-03-29 11:49:27.234206,k3s-master,"",svclb-traefik-xl9z9,kube-system,0,0,0,""
2023-03-29 11:49:27.236234,ea-k3s-node-eu-west-1-2,"",dispatcher-jnxpb,default,1,0,0,""
2023-03-29 11:49:27.238204,k3s-master,"",monitoring-747bdc64bc-x7z6k,default,0,0,0,""
2023-03-29 11:49:27.240664,k3s-master,"",podscale-controller-57f68c67fc-h7bw8,kube-system,4,100,200,""
2023-03-29 11:49:27.242599,ea-k3s-node-eu-west-1-1,thumbnailer,thumbnailer-q8qwdwan,openfaas-fn,11,522,522,community-2
2023-03-29 11:49:27.420335,k3s-master,"",community-2-676fc9656c-js7n2,openfaas-fn,1,200,200,""
2023-03-29 11:49:27.620788,k3s-master,"",pod-autoscaler-76b6884b54-5ff5v,kube-system,2,500,500,""
2023-03-29 11:49:28.020387,ea-k3s-node-eu-west-1-3,"",delay-discovery-ktcxx,default,0,0,0,""
2023-03-29 11:49:28.220365,ea-k3s-node-eu-west-1-1,"",delay-discovery-8fgk5,default,0,0,0,""
2023-03-29 11:49:28.420196,k3s-master,"",metrics-server-c6799cf48-8gkjk,kube-system,5,0,0,""
2023-03-29 11:49:28.620878,k3s-master,"",delay-discovery-kvzls,default,0,0,0,""
2023-03-29 11:49:28.820817,ea-k3s-node-eu-west-1-3,"",metrics-database-6c5586d74-rd4dg,kube-system,107,0,0,""
2023-03-29 11:49:29.021109,ea-k3s-node-eu-west-1-2,"",delay-discovery-djs58,default,0,0,0,""
2023-03-29 11:49:29.220613,ea-k3s-node-eu-west-1-1,compression,compression-t33lvpek,openfaas-fn,1,200,200,community-2
2023-03-29 11:49:29.420969,k3s-master,"",custom-metrics-apiserver-8586695c47-hl472,custom-metrics,5,200,200,""
2023-03-29 11:49:29.620926,k3s-master,"",cpu-monitoring-7bbd5b549b-v28t8,kube-system,15,0,0,""
2023-03-29 11:49:29.82085,k3s-master,"",traefik-7f48667fb9-cwzqf,kube-system,4,0,0,""
2023-03-29 11:49:30.020472,ea-k3s-node-eu-west-1-3,"",dispatcher-9p2pv,default,1,0,0,""
2023-03-29 11:49:30.220214,k3s-master,"",flannel-fixer-deployment-5c468f87f8-gsbpn,kube-system,1,0,0,""
2023-03-29 11:49:30.421058,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-86ccb8bbdf-zkgsl,default,1,500,1000,""
2023-03-29 11:49:30.621558,k3s-master,"",dispatcher-h6rbk,default,1,0,0,""
2023-03-29 11:49:30.821165,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-5ksrw,kube-system,1,100,200,""
2023-03-29 11:49:31.021915,ea-k3s-node-eu-west-1-3,"",svclb-traefik-t75k6,kube-system,0,0,0,""
2023-03-29 11:49:31.221927,ea-k3s-node-eu-west-1-1,"",dispatcher-mp945,default,1,0,0,""
2023-03-29 11:49:31.421984,ea-k3s-node-eu-west-1-2,"",workload-5cb5f8bd4d-6bm2d,default,61,0,0,""
2023-03-29 11:49:31.622197,ea-k3s-node-eu-west-1-2,"",svclb-traefik-kj9ln,kube-system,0,0,0,""
2023-03-29 11:49:36.62615,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-86ccb8bbdf-zkgsl,default,1,500,1000,""
2023-03-29 11:49:36.628369,k3s-master,"",cpu-monitoring-7bbd5b549b-v28t8,kube-system,15,0,0,""
2023-03-29 11:49:36.631123,k3s-master,"",traefik-7f48667fb9-cwzqf,kube-system,4,0,0,""
