timestamp,node,function,namespace,community,latency,gpu
2023-03-29 15:07:10.689561,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-29 15:07:11.793791,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,200,f
2023-03-29 15:07:12.889022,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-29 15:07:13.887698,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-29 15:07:14.893719,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,102,f
2023-03-29 15:07:20.392115,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,76,f
2023-03-29 15:07:21.341672,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:07:22.289365,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:07:23.236725,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:07:24.184793,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:07:25.135628,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:07:26.103617,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,63,f
2023-03-29 15:07:27.095229,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,86,f
2023-03-29 15:07:28.094544,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:29.094801,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:30.096461,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:31.095906,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:32.108784,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,108,f
2023-03-29 15:07:33.096785,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,83,f
2023-03-29 15:07:34.100485,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,99,f
2023-03-29 15:07:35.099726,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-29 15:07:36.099977,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:37.100329,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:38.112991,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,108,f
2023-03-29 15:07:39.101689,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,84,f
2023-03-29 15:07:44.699514,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,177,f
2023-03-29 15:07:45.707672,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,104,f
2023-03-29 15:07:46.791221,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,179,f
2023-03-29 15:07:47.892173,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 15:07:48.992193,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 15:07:50.09125,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-29 15:07:51.191373,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 15:07:52.207577,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,112,f
2023-03-29 15:07:53.292003,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,180,f
2023-03-29 15:07:54.391732,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 15:07:55.490639,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-29 15:07:56.50737,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,112,f
2023-03-29 15:07:57.499295,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,87,f
2023-03-29 15:07:58.499038,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:07:59.499478,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:08:00.497041,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-29 15:08:01.49722,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:08:02.493004,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-29 15:08:03.440846,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:04.387843,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,42,f
2023-03-29 15:08:05.33797,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:08:06.285845,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:07.234096,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:08.182276,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:08:09.132753,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,45,f
2023-03-29 15:08:10.082862,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:08:11.030232,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:11.979244,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,45,f
2023-03-29 15:08:12.926894,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:13.876831,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,46,f
2023-03-29 15:08:14.827194,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:08:15.774559,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:16.722704,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:17.670112,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:18.61862,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,44,f
2023-03-29 15:08:19.568384,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:20.516196,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,43,f
2023-03-29 15:08:21.492552,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,71,f
2023-03-29 15:08:22.492119,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-29 15:08:23.492943,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:08:24.49447,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-29 15:08:25.490731,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-29 15:08:26.60031,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,205,f
2023-03-29 15:08:27.688056,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,184,f
2023-03-29 15:08:28.792035,dynamic-html,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,200,f
