timestamp,node,function,namespace,community,latency,gpu
2023-03-28 22:23:17.21696,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,784,f
2023-03-28 22:23:18.51784,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,393,f
2023-03-28 22:23:19.818614,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,395,f
2023-03-28 22:23:21.521712,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,797,f
2023-03-28 22:23:22.818354,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,391,f
2023-03-28 22:23:24.01624,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,288,f
2023-03-28 22:23:25.212256,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,292,f
2023-03-28 22:23:26.339547,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,223,f
2023-03-28 22:23:27.435395,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,192,f
2023-03-28 22:23:28.535893,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,197,f
2023-03-28 22:23:29.621491,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,175,f
2023-03-28 22:23:30.712395,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,182,f
2023-03-28 22:23:31.748575,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,129,f
2023-03-28 22:23:32.749915,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-28 22:23:33.75147,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-28 22:23:34.810872,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,148,f
2023-03-28 22:23:35.834732,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,121,f
2023-03-28 22:23:36.829513,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:23:37.828262,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-28 22:23:38.826139,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-28 22:23:44.348802,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:45.348578,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:23:46.347337,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:47.345231,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:48.344054,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:53.872144,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:54.870673,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,89,f
2023-03-28 22:23:55.869193,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:23:56.867444,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:57.866192,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:23:58.869941,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:23:59.870204,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-28 22:24:00.869024,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:24:01.868251,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:24:02.86858,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-28 22:24:03.874077,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-28 22:24:04.872674,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:24:05.872128,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-28 22:24:06.871298,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:24:07.869378,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:24:08.872921,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,90,f
2023-03-28 22:24:09.872013,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-28 22:24:10.869171,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:24:11.865992,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-28 22:24:12.863454,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
