timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 07:30:37.122861,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 07:30:37.322128,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 07:30:37.523149,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 07:30:37.723103,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,5,0,0,""
2023-03-29 07:30:37.92236,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 07:30:38.122916,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 07:30:38.323372,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 07:30:38.522723,ea-k3s-node-eu-west-2-3,"",allocation-algorithm-679c5fcc65-tkwq5,default,1,500,1000,""
2023-03-29 07:30:38.722704,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-btpmb,default,1,100,200,""
2023-03-29 07:30:38.922556,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zqhk,kube-system,0,0,0,""
2023-03-29 07:30:39.121468,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-6m2zcv6d,openfaas-fn,1,200,200,community-3
2023-03-29 07:30:39.322752,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 07:30:39.5224,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,3,200,200,""
2023-03-29 07:30:39.721675,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bmqbl,default,2,0,0,""
2023-03-29 07:30:39.922846,k3s-master,"",coredns-5b5bf59798-thdhj,kube-system,3,0,0,""
2023-03-29 07:30:40.121987,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 07:30:45.125526,ea-k3s-node-eu-west-2-1,"",delay-discovery-8tzpp,default,0,0,0,""
2023-03-29 07:30:45.12784,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-8wmq5,kube-system,4,0,0,""
2023-03-29 07:30:45.129975,k3s-master,"",podscale-controller-57f68c67fc-clw2s,kube-system,2,100,200,""
2023-03-29 07:30:45.131937,k3s-master,"",cpu-monitoring-7bbd5b549b-ljnpj,kube-system,12,0,0,""
2023-03-29 07:30:45.134061,k3s-master,"",local-path-provisioner-79c4646df5-wqg4g,kube-system,1,0,0,""
2023-03-29 07:30:45.138715,k3s-master,"",flannel-fixer-deployment-5c468f87f8-kn7fh,kube-system,1,0,0,""
2023-03-29 07:30:45.140739,ea-k3s-node-eu-west-2-3,"",svclb-traefik-m5lkx,kube-system,0,0,0,""
2023-03-29 07:30:45.142829,ea-k3s-node-eu-west-2-2,"",delay-discovery-2z76p,default,2,0,0,""
2023-03-29 07:30:45.144742,ea-k3s-node-eu-west-2-1,"",svclb-traefik-frqxw,kube-system,0,0,0,""
2023-03-29 07:30:45.326094,k3s-master,"",community-3-57bf999865-gfjgm,openfaas-fn,1,200,200,""
2023-03-29 07:30:45.5249,k3s-master,"",dispatcher-g8qp9,default,1,0,0,""
2023-03-29 07:30:45.724582,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 07:30:45.925326,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 07:30:46.12552,ea-k3s-node-eu-west-2-2,"",dispatcher-c7gpt,default,1,0,0,""
2023-03-29 07:30:46.325416,k3s-master,"",pod-autoscaler-76b6884b54-w88sl,kube-system,1,500,500,""
2023-03-29 07:30:46.525651,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,5,0,0,""
2023-03-29 07:30:46.725049,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 07:30:46.925613,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 07:30:47.124714,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 07:30:47.325411,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 07:30:47.524631,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-btpmb,default,1,100,200,""
2023-03-29 07:30:47.725617,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zqhk,kube-system,0,0,0,""
2023-03-29 07:30:47.924616,ea-k3s-node-eu-west-2-3,"",allocation-algorithm-679c5fcc65-tkwq5,default,1,500,1000,""
2023-03-29 07:30:48.125624,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 07:30:48.325745,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,3,200,200,""
2023-03-29 07:30:48.525624,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-6m2zcv6d,openfaas-fn,1,450,450,community-3
2023-03-29 07:30:48.724498,k3s-master,"",coredns-5b5bf59798-thdhj,kube-system,3,0,0,""
2023-03-29 07:30:48.925134,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 07:30:49.1264,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bmqbl,default,2,0,0,""
2023-03-29 07:30:54.130556,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-6m2zcv6d,openfaas-fn,1,654,654,community-3
2023-03-29 07:30:54.133111,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 07:30:54.13535,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,3,200,200,""
2023-03-29 07:30:54.136514,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bmqbl,default,2,0,0,""
2023-03-29 07:30:54.13866,k3s-master,"",coredns-5b5bf59798-thdhj,kube-system,3,0,0,""
2023-03-29 07:30:54.140766,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 07:30:54.14189,k3s-master,"",cpu-monitoring-7bbd5b549b-ljnpj,kube-system,12,0,0,""
2023-03-29 07:30:54.143983,k3s-master,"",local-path-provisioner-79c4646df5-wqg4g,kube-system,1,0,0,""
2023-03-29 07:30:54.145196,ea-k3s-node-eu-west-2-1,"",delay-discovery-8tzpp,default,0,0,0,""
2023-03-29 07:30:54.146379,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-8wmq5,kube-system,4,0,0,""
2023-03-29 07:30:54.330781,k3s-master,"",podscale-controller-57f68c67fc-clw2s,kube-system,2,100,200,""
2023-03-29 07:30:54.53124,ea-k3s-node-eu-west-2-1,"",svclb-traefik-frqxw,kube-system,0,0,0,""
2023-03-29 07:30:54.730964,k3s-master,"",community-3-57bf999865-gfjgm,openfaas-fn,1,200,200,""
2023-03-29 07:30:55.131268,k3s-master,"",flannel-fixer-deployment-5c468f87f8-kn7fh,kube-system,1,0,0,""
2023-03-29 07:30:55.332955,ea-k3s-node-eu-west-2-3,"",svclb-traefik-m5lkx,kube-system,0,0,0,""
2023-03-29 07:30:55.532482,ea-k3s-node-eu-west-2-2,"",delay-discovery-2z76p,default,2,0,0,""
2023-03-29 07:30:55.73272,ea-k3s-node-eu-west-2-2,"",dispatcher-c7gpt,default,1,0,0,""
2023-03-29 07:30:55.932203,k3s-master,"",pod-autoscaler-76b6884b54-w88sl,kube-system,1,500,500,""
2023-03-29 07:30:56.132521,k3s-master,"",dispatcher-g8qp9,default,1,0,0,""
2023-03-29 07:30:56.332107,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 07:30:56.532212,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 07:30:56.732476,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 07:30:56.932128,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,5,0,0,""
2023-03-29 07:31:16.339033,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 07:31:16.539266,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 07:31:16.740174,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 07:31:16.940491,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 07:31:21.943355,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 07:31:21.945543,ea-k3s-node-eu-west-2-2,"",dispatcher-c7gpt,default,1,0,0,""
2023-03-29 07:31:21.948197,k3s-master,"",pod-autoscaler-76b6884b54-w88sl,kube-system,1,500,500,""
2023-03-29 07:31:21.949372,k3s-master,"",dispatcher-g8qp9,default,1,0,0,""
2023-03-29 07:31:21.953337,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 07:31:21.95545,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 07:31:21.958134,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 07:31:21.960149,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,5,0,0,""
2023-03-29 07:31:21.961285,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 07:31:22.142956,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 07:31:22.343323,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zqhk,kube-system,0,0,0,""
2023-03-29 07:31:22.543347,ea-k3s-node-eu-west-2-3,"",allocation-algorithm-679c5fcc65-tkwq5,default,1,500,1000,""
2023-03-29 07:31:22.743652,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-btpmb,default,1,100,200,""
2023-03-29 07:31:22.94386,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,3,200,200,""
2023-03-29 07:31:23.143786,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-6m2zcv6d,openfaas-fn,1,364,364,community-3
2023-03-29 07:31:23.544045,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 07:31:23.744318,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 07:31:23.944286,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-bmqbl,default,2,0,0,""
