timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-29 08:20:31.259257,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:20:34.332976,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:20:37.385086,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:20:40.435364,pod-graph-mst-2gypq5s0,,0.3,0.3
2023-03-29 08:20:43.571054,pod-graph-mst-2gypq5s0,,0.3,0.3
2023-03-29 08:20:46.622948,pod-graph-mst-2gypq5s0,,0.45,0.45
2023-03-29 08:20:49.675185,pod-graph-mst-2gypq5s0,,0.45,0.45
2023-03-29 08:20:52.726696,pod-graph-mst-2gypq5s0,,0.626,0.626
2023-03-29 08:20:55.777559,pod-graph-mst-2gypq5s0,,0.626,0.626
2023-03-29 08:20:58.829195,pod-graph-mst-2gypq5s0,,0.758,0.758
2023-03-29 08:21:01.877203,pod-graph-mst-2gypq5s0,,0.829,0.829
2023-03-29 08:21:04.94708,pod-graph-mst-2gypq5s0,,0.829,0.829
2023-03-29 08:21:07.999854,pod-graph-mst-2gypq5s0,,0.747,0.747
2023-03-29 08:21:11.049218,pod-graph-mst-2gypq5s0,,0.747,0.747
2023-03-29 08:21:14.103497,pod-graph-mst-2gypq5s0,,0.493,0.493
2023-03-29 08:21:17.155175,pod-graph-mst-2gypq5s0,,0.493,0.493
2023-03-29 08:21:20.209205,pod-graph-mst-2gypq5s0,,0.211,0.211
2023-03-29 08:21:23.26133,pod-graph-mst-2gypq5s0,,0.211,0.211
2023-03-29 08:21:26.315357,pod-graph-mst-2gypq5s0,,0.316,0.316
2023-03-29 08:21:29.364193,pod-graph-mst-2gypq5s0,,0.316,0.316
2023-03-29 08:21:32.413601,pod-graph-mst-2gypq5s0,,0.474,0.474
2023-03-29 08:21:35.491619,pod-graph-mst-2gypq5s0,,0.474,0.474
2023-03-29 08:21:38.54576,pod-graph-mst-2gypq5s0,,0.584,0.584
2023-03-29 08:21:41.601809,pod-graph-mst-2gypq5s0,,0.584,0.584
2023-03-29 08:21:41.601809,pod-graph-mst-qp5vyvg7,,1,1
2023-03-29 08:21:44.658598,pod-graph-mst-2gypq5s0,,0.703,0.703
2023-03-29 08:21:44.658598,pod-graph-mst-qp5vyvg7,,0.25,0.25
2023-03-29 08:21:47.716288,pod-graph-mst-2gypq5s0,,0.703,0.703
2023-03-29 08:21:47.716288,pod-graph-mst-qp5vyvg7,,0.25,0.25
2023-03-29 08:21:50.780679,pod-graph-mst-2gypq5s0,,0.772,0.772
2023-03-29 08:21:50.780679,pod-graph-mst-qp5vyvg7,,0.2,0.2
2023-03-29 08:21:53.843786,pod-graph-mst-2gypq5s0,,0.772,0.772
2023-03-29 08:21:53.843786,pod-graph-mst-qp5vyvg7,,0.2,0.2
2023-03-29 08:21:56.906488,pod-graph-mst-2gypq5s0,,0.705,0.705
2023-03-29 08:21:56.906488,pod-graph-mst-qp5vyvg7,,0.3,0.3
2023-03-29 08:21:59.97441,pod-graph-mst-2gypq5s0,,0.705,0.705
2023-03-29 08:21:59.97441,pod-graph-mst-qp5vyvg7,,0.3,0.3
2023-03-29 08:21:47.716288,pod-graph-mst-f51noe13,,1,1
2023-03-29 08:21:50.780679,pod-graph-mst-f51noe13,,1.5,1.5
2023-03-29 08:21:53.843786,pod-graph-mst-f51noe13,,1.5,1.5
2023-03-29 08:21:56.906488,pod-graph-mst-f51noe13,,1.772,1.772
2023-03-29 08:21:59.97441,pod-graph-mst-f51noe13,,1.772,1.772
2023-03-29 08:22:03.042515,pod-graph-mst-2gypq5s0,,0.501,0.501
2023-03-29 08:22:03.042515,pod-graph-mst-qp5vyvg7,,0.45,0.45
2023-03-29 08:22:06.13919,pod-graph-mst-2gypq5s0,,0.501,0.501
2023-03-29 08:22:06.13919,pod-graph-mst-qp5vyvg7,,0.45,0.45
2023-03-29 08:22:09.211008,pod-graph-mst-2gypq5s0,,0.25,0.25
2023-03-29 08:22:09.211008,pod-graph-mst-qp5vyvg7,,0.675,0.675
2023-03-29 08:22:12.283476,pod-graph-mst-2gypq5s0,,0.25,0.25
2023-03-29 08:22:12.283476,pod-graph-mst-qp5vyvg7,,0.675,0.675
2023-03-29 08:22:15.359298,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:22:15.359298,pod-graph-mst-qp5vyvg7,,0.848,0.848
2023-03-29 08:22:18.426425,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:22:18.426425,pod-graph-mst-qp5vyvg7,,0.848,0.848
2023-03-29 08:22:21.493682,pod-graph-mst-2gypq5s0,,0.269,0.269
2023-03-29 08:22:21.493682,pod-graph-mst-qp5vyvg7,,1.04,1.04
2023-03-29 08:22:24.564124,pod-graph-mst-2gypq5s0,,0.269,0.269
2023-03-29 08:22:24.564124,pod-graph-mst-qp5vyvg7,,1.04,1.04
2023-03-29 08:22:27.636782,pod-graph-mst-2gypq5s0,,0.403,0.403
2023-03-29 08:22:27.636782,pod-graph-mst-qp5vyvg7,,0.618,0.618
2023-03-29 08:22:03.042515,pod-graph-mst-f51noe13,,2.084,2.084
2023-03-29 08:22:06.13919,pod-graph-mst-f51noe13,,2.084,2.084
2023-03-29 08:22:09.211008,pod-graph-mst-f51noe13,,2.3,2.3
2023-03-29 08:22:12.283476,pod-graph-mst-f51noe13,,2.3,2.3
2023-03-29 08:22:15.359298,pod-graph-mst-f51noe13,,2.548,2.548
2023-03-29 08:22:18.426425,pod-graph-mst-f51noe13,,2.548,2.548
2023-03-29 08:22:21.493682,pod-graph-mst-f51noe13,,1.983,1.983
2023-03-29 08:22:24.564124,pod-graph-mst-f51noe13,,1.983,1.983
2023-03-29 08:22:27.636782,pod-graph-mst-f51noe13,,1.689,1.689
2023-03-29 08:22:30.707721,pod-graph-mst-2gypq5s0,,0.403,0.403
2023-03-29 08:22:30.707721,pod-graph-mst-qp5vyvg7,,0.618,0.618
2023-03-29 08:22:33.801227,pod-graph-mst-2gypq5s0,,0.566,0.566
2023-03-29 08:22:33.801227,pod-graph-mst-qp5vyvg7,,0.321,0.321
2023-03-29 08:22:36.870435,pod-graph-mst-2gypq5s0,,0.566,0.566
2023-03-29 08:22:36.870435,pod-graph-mst-qp5vyvg7,,0.321,0.321
2023-03-29 08:22:39.940458,pod-graph-mst-2gypq5s0,,0.699,0.699
2023-03-29 08:22:39.940458,pod-graph-mst-qp5vyvg7,,0.2,0.2
2023-03-29 08:22:43.008354,pod-graph-mst-2gypq5s0,,0.699,0.699
2023-03-29 08:22:43.008354,pod-graph-mst-qp5vyvg7,,0.2,0.2
2023-03-29 08:22:46.081914,pod-graph-mst-2gypq5s0,,0.659,0.659
2023-03-29 08:22:46.081914,pod-graph-mst-qp5vyvg7,,0.3,0.3
2023-03-29 08:22:49.14886,pod-graph-mst-2gypq5s0,,0.659,0.659
2023-03-29 08:22:49.14886,pod-graph-mst-qp5vyvg7,,0.3,0.3
2023-03-29 08:22:52.219216,pod-graph-mst-2gypq5s0,,0.473,0.473
2023-03-29 08:22:52.219216,pod-graph-mst-qp5vyvg7,,0.354,0.354
2023-03-29 08:22:55.286943,pod-graph-mst-2gypq5s0,,0.473,0.473
2023-03-29 08:22:55.286943,pod-graph-mst-qp5vyvg7,,0.354,0.354
2023-03-29 08:22:58.361648,pod-graph-mst-2gypq5s0,,0.239,0.239
2023-03-29 08:22:58.361648,pod-graph-mst-qp5vyvg7,,0.452,0.452
2023-03-29 08:22:30.707721,pod-graph-mst-f51noe13,,1.689,1.689
2023-03-29 08:22:33.801227,pod-graph-mst-f51noe13,,1.395,1.395
2023-03-29 08:22:36.870435,pod-graph-mst-f51noe13,,1.395,1.395
2023-03-29 08:22:39.940458,pod-graph-mst-f51noe13,,1.082,1.082
2023-03-29 08:22:43.008354,pod-graph-mst-f51noe13,,1.082,1.082
2023-03-29 08:22:46.081914,pod-graph-mst-f51noe13,,0.775,0.775
2023-03-29 08:22:49.14886,pod-graph-mst-f51noe13,,0.775,0.775
2023-03-29 08:22:52.219216,pod-graph-mst-f51noe13,,0.468,0.468
2023-03-29 08:22:55.286943,pod-graph-mst-f51noe13,,0.468,0.468
2023-03-29 08:22:58.361648,pod-graph-mst-f51noe13,,0.397,0.397
2023-03-29 08:23:01.432873,pod-graph-mst-2gypq5s0,,0.239,0.239
2023-03-29 08:23:01.432873,pod-graph-mst-qp5vyvg7,,0.452,0.452
2023-03-29 08:23:04.52813,pod-graph-mst-2gypq5s0,,0.243,0.243
2023-03-29 08:23:04.52813,pod-graph-mst-qp5vyvg7,,0.511,0.511
2023-03-29 08:23:07.602363,pod-graph-mst-2gypq5s0,,0.243,0.243
2023-03-29 08:23:07.602363,pod-graph-mst-qp5vyvg7,,0.511,0.511
2023-03-29 08:23:10.671554,pod-graph-mst-2gypq5s0,,0.234,0.234
2023-03-29 08:23:10.671554,pod-graph-mst-qp5vyvg7,,0.613,0.613
2023-03-29 08:23:13.744674,pod-graph-mst-2gypq5s0,,0.234,0.234
2023-03-29 08:23:13.744674,pod-graph-mst-qp5vyvg7,,0.613,0.613
2023-03-29 08:23:16.816105,pod-graph-mst-2gypq5s0,,0.351,0.351
2023-03-29 08:23:16.816105,pod-graph-mst-qp5vyvg7,,0.528,0.528
2023-03-29 08:23:19.885196,pod-graph-mst-2gypq5s0,,0.526,0.526
2023-03-29 08:23:19.885196,pod-graph-mst-qp5vyvg7,,0.376,0.376
2023-03-29 08:23:22.955104,pod-graph-mst-2gypq5s0,,0.526,0.526
2023-03-29 08:23:22.955104,pod-graph-mst-qp5vyvg7,,0.376,0.376
2023-03-29 08:23:26.022174,pod-graph-mst-2gypq5s0,,0.775,0.775
2023-03-29 08:23:26.022174,pod-graph-mst-qp5vyvg7,,0.328,0.328
2023-03-29 08:23:29.095727,pod-graph-mst-2gypq5s0,,0.775,0.775
2023-03-29 08:23:29.095727,pod-graph-mst-qp5vyvg7,,0.328,0.328
2023-03-29 08:23:01.432873,pod-graph-mst-f51noe13,,0.397,0.397
2023-03-29 08:23:04.52813,pod-graph-mst-f51noe13,,0.307,0.307
2023-03-29 08:23:07.602363,pod-graph-mst-f51noe13,,0.307,0.307
2023-03-29 08:23:10.671554,pod-graph-mst-f51noe13,,0.229,0.229
2023-03-29 08:23:13.744674,pod-graph-mst-f51noe13,,0.229,0.229
2023-03-29 08:23:16.816105,pod-graph-mst-f51noe13,,0.28,0.28
2023-03-29 08:23:19.885196,pod-graph-mst-f51noe13,,0.42,0.42
2023-03-29 08:23:22.955104,pod-graph-mst-f51noe13,,0.42,0.42
2023-03-29 08:23:26.022174,pod-graph-mst-f51noe13,,0.63,0.63
2023-03-29 08:23:29.095727,pod-graph-mst-f51noe13,,0.63,0.63
2023-03-29 08:23:32.162831,pod-graph-mst-2gypq5s0,,1.009,1.009
2023-03-29 08:23:32.162831,pod-graph-mst-qp5vyvg7,,0.278,0.278
2023-03-29 08:23:35.257825,pod-graph-mst-2gypq5s0,,1.009,1.009
2023-03-29 08:23:35.257825,pod-graph-mst-qp5vyvg7,,0.278,0.278
2023-03-29 08:23:38.328598,pod-graph-mst-2gypq5s0,,1.223,1.223
2023-03-29 08:23:38.328598,pod-graph-mst-qp5vyvg7,,0.266,0.266
2023-03-29 08:23:41.398426,pod-graph-mst-2gypq5s0,,1.223,1.223
2023-03-29 08:23:41.398426,pod-graph-mst-qp5vyvg7,,0.266,0.266
2023-03-29 08:23:44.469279,pod-graph-mst-2gypq5s0,,0.957,0.957
2023-03-29 08:23:44.469279,pod-graph-mst-qp5vyvg7,,0.293,0.293
2023-03-29 08:23:47.542571,pod-graph-mst-2gypq5s0,,0.957,0.957
2023-03-29 08:23:47.542571,pod-graph-mst-qp5vyvg7,,0.293,0.293
2023-03-29 08:23:50.618157,pod-graph-mst-2gypq5s0,,0.686,0.686
2023-03-29 08:23:50.618157,pod-graph-mst-qp5vyvg7,,0.38,0.38
2023-03-29 08:23:53.687516,pod-graph-mst-2gypq5s0,,0.686,0.686
2023-03-29 08:23:53.687516,pod-graph-mst-qp5vyvg7,,0.38,0.38
2023-03-29 08:23:56.755567,pod-graph-mst-2gypq5s0,,0.406,0.406
2023-03-29 08:23:56.755567,pod-graph-mst-qp5vyvg7,,0.411,0.411
2023-03-29 08:23:59.82831,pod-graph-mst-2gypq5s0,,0.406,0.406
2023-03-29 08:23:59.82831,pod-graph-mst-qp5vyvg7,,0.411,0.411
2023-03-29 08:23:32.162831,pod-graph-mst-f51noe13,,0.88,0.88
2023-03-29 08:23:35.257825,pod-graph-mst-f51noe13,,0.88,0.88
2023-03-29 08:23:38.328598,pod-graph-mst-f51noe13,,1.06,1.06
2023-03-29 08:23:41.398426,pod-graph-mst-f51noe13,,1.06,1.06
2023-03-29 08:23:44.469279,pod-graph-mst-f51noe13,,1.257,1.257
2023-03-29 08:23:47.542571,pod-graph-mst-f51noe13,,1.257,1.257
2023-03-29 08:23:50.618157,pod-graph-mst-f51noe13,,0.92,0.92
2023-03-29 08:23:53.687516,pod-graph-mst-f51noe13,,0.92,0.92
2023-03-29 08:23:56.755567,pod-graph-mst-f51noe13,,0.612,0.612
2023-03-29 08:23:59.82831,pod-graph-mst-f51noe13,,0.612,0.612
2023-03-29 08:24:02.89883,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:02.89883,pod-graph-mst-qp5vyvg7,,0.488,0.488
2023-03-29 08:24:05.995543,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:05.995543,pod-graph-mst-qp5vyvg7,,0.488,0.488
2023-03-29 08:24:09.066103,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:09.066103,pod-graph-mst-qp5vyvg7,,0.462,0.462
2023-03-29 08:24:12.133181,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:12.133181,pod-graph-mst-qp5vyvg7,,0.462,0.462
2023-03-29 08:24:15.202292,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:15.202292,pod-graph-mst-qp5vyvg7,,0.521,0.521
2023-03-29 08:24:18.274653,pod-graph-mst-2gypq5s0,,0.2,0.2
2023-03-29 08:24:18.274653,pod-graph-mst-qp5vyvg7,,0.521,0.521
2023-03-29 08:24:21.345214,pod-graph-mst-qp5vyvg7,,0.44,0.44
2023-03-29 08:24:02.89883,pod-graph-mst-f51noe13,,0.3,0.3
2023-03-29 08:24:05.995543,pod-graph-mst-f51noe13,,0.3,0.3
2023-03-29 08:24:09.066103,pod-graph-mst-f51noe13,,0.439,0.439
2023-03-29 08:24:12.133181,pod-graph-mst-f51noe13,,0.439,0.439
2023-03-29 08:24:15.202292,pod-graph-mst-f51noe13,,0.426,0.426
2023-03-29 08:24:18.274653,pod-graph-mst-f51noe13,,0.426,0.426
2023-03-29 08:24:21.345214,pod-graph-mst-f51noe13,,0.335,0.335
2023-03-29 08:24:21.345214,pod-graph-mst-t4t4w6uz,,0.2,0.2
2023-03-29 08:24:58.981096,pod-graph-mst-f51noe13,,0.335,0.335
2023-03-29 08:24:58.981096,pod-graph-mst-qp5vyvg7,,0.44,0.44
2023-03-29 08:24:58.981096,pod-graph-mst-t4t4w6uz,,0.2,0.2
2023-03-29 08:25:02.090671,pod-graph-mst-f51noe13,,0.327,0.327
2023-03-29 08:25:05.200475,pod-graph-mst-f51noe13,,0.327,0.327
2023-03-29 08:25:08.269021,pod-graph-mst-f51noe13,,0.342,0.342
2023-03-29 08:25:11.341589,pod-graph-mst-f51noe13,,0.342,0.342
2023-03-29 08:25:14.410572,pod-graph-mst-f51noe13,,0.461,0.461
2023-03-29 08:25:17.479432,pod-graph-mst-f51noe13,,0.461,0.461
2023-03-29 08:25:20.548013,pod-graph-mst-f51noe13,,0.513,0.513
2023-03-29 08:25:23.616992,pod-graph-mst-f51noe13,,0.702,0.702
2023-03-29 08:25:02.090671,pod-graph-mst-qp5vyvg7,,0.505,0.505
2023-03-29 08:25:05.200475,pod-graph-mst-qp5vyvg7,,0.505,0.505
2023-03-29 08:25:08.269021,pod-graph-mst-qp5vyvg7,,0.57,0.57
2023-03-29 08:25:11.341589,pod-graph-mst-qp5vyvg7,,0.57,0.57
2023-03-29 08:25:14.410572,pod-graph-mst-qp5vyvg7,,0.635,0.635
2023-03-29 08:25:17.479432,pod-graph-mst-qp5vyvg7,,0.635,0.635
2023-03-29 08:25:20.548013,pod-graph-mst-qp5vyvg7,,0.7,0.7
2023-03-29 08:25:02.090671,pod-graph-mst-t4t4w6uz,,0.2,0.2
2023-03-29 08:25:05.200475,pod-graph-mst-t4t4w6uz,,0.2,0.2
2023-03-29 08:25:08.269021,pod-graph-mst-t4t4w6uz,,0.3,0.3
2023-03-29 08:25:11.341589,pod-graph-mst-t4t4w6uz,,0.3,0.3
2023-03-29 08:25:14.410572,pod-graph-mst-t4t4w6uz,,0.45,0.45
2023-03-29 08:25:17.479432,pod-graph-mst-t4t4w6uz,,0.45,0.45
2023-03-29 08:25:20.548013,pod-graph-mst-t4t4w6uz,,0.675,0.675
2023-03-29 08:25:23.616992,pod-graph-mst-t4t4w6uz,,0.45,0.45
2023-03-29 08:25:23.616992,pod-graph-mst-rpp6r5pl,,0.817,0.817
2023-03-29 08:26:33.957199,pod-graph-mst-f51noe13,,0.572,0.572
2023-03-29 08:26:37.06336,pod-graph-mst-f51noe13,,0.572,0.572
2023-03-29 08:26:40.131645,pod-graph-mst-f51noe13,,0.42,0.42
2023-03-29 08:26:43.199589,pod-graph-mst-f51noe13,,0.42,0.42
2023-03-29 08:26:46.267927,pod-graph-mst-f51noe13,,0.209,0.209
2023-03-29 08:26:49.338142,pod-graph-mst-f51noe13,,0.209,0.209
2023-03-29 08:26:52.407078,pod-graph-mst-f51noe13,,0.227,0.227
2023-03-29 08:26:55.473717,pod-graph-mst-f51noe13,,0.227,0.227
2023-03-29 08:26:58.543582,pod-graph-mst-f51noe13,,0.319,0.319
2023-03-29 08:26:33.957199,pod-graph-mst-rpp6r5pl,,0.652,0.652
2023-03-29 08:26:37.06336,pod-graph-mst-rpp6r5pl,,0.652,0.652
2023-03-29 08:26:40.131645,pod-graph-mst-rpp6r5pl,,0.285,0.285
2023-03-29 08:26:43.199589,pod-graph-mst-rpp6r5pl,,0.285,0.285
2023-03-29 08:26:46.267927,pod-graph-mst-rpp6r5pl,,0.2,0.2
2023-03-29 08:26:49.338142,pod-graph-mst-rpp6r5pl,,0.2,0.2
2023-03-29 08:26:52.407078,pod-graph-mst-rpp6r5pl,,0.3,0.3
2023-03-29 08:26:55.473717,pod-graph-mst-rpp6r5pl,,0.3,0.3
2023-03-29 08:26:58.543582,pod-graph-mst-rpp6r5pl,,0.45,0.45
2023-03-29 08:26:33.957199,pod-graph-mst-t4t4w6uz,,0.628,0.628
2023-03-29 08:26:37.06336,pod-graph-mst-t4t4w6uz,,0.628,0.628
2023-03-29 08:26:40.131645,pod-graph-mst-t4t4w6uz,,0.699,0.699
2023-03-29 08:26:43.199589,pod-graph-mst-t4t4w6uz,,0.699,0.699
2023-03-29 08:26:46.267927,pod-graph-mst-t4t4w6uz,,0.721,0.721
2023-03-29 08:26:49.338142,pod-graph-mst-t4t4w6uz,,0.721,0.721
2023-03-29 08:26:52.407078,pod-graph-mst-t4t4w6uz,,0.664,0.664
2023-03-29 08:26:55.473717,pod-graph-mst-t4t4w6uz,,0.664,0.664
2023-03-29 08:26:58.543582,pod-graph-mst-t4t4w6uz,,0.591,0.591
2023-03-29 08:27:01.613576,pod-graph-mst-f51noe13,,0.319,0.319
2023-03-29 08:27:04.719196,pod-graph-mst-f51noe13,,0.478,0.478
2023-03-29 08:27:07.788724,pod-graph-mst-f51noe13,,0.478,0.478
2023-03-29 08:27:10.858815,pod-graph-mst-f51noe13,,0.63,0.63
2023-03-29 08:27:13.928622,pod-graph-mst-f51noe13,,0.812,0.812
2023-03-29 08:27:16.996658,pod-graph-mst-f51noe13,,0.812,0.812
2023-03-29 08:27:20.069651,pod-graph-mst-f51noe13,,0.748,0.748
2023-03-29 08:27:23.136833,pod-graph-mst-f51noe13,,0.748,0.748
2023-03-29 08:27:26.206522,pod-graph-mst-f51noe13,,0.628,0.628
2023-03-29 08:27:29.274307,pod-graph-mst-f51noe13,,0.628,0.628
2023-03-29 08:27:01.613576,pod-graph-mst-rpp6r5pl,,0.45,0.45
2023-03-29 08:27:04.719196,pod-graph-mst-rpp6r5pl,,0.675,0.675
