timestamp,node,function,namespace,community,latency,gpu
2023-03-29 16:22:16.200571,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,160,f
2023-03-29 16:22:17.301366,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 16:22:18.401949,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 16:22:19.502503,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,196,f
2023-03-29 16:22:20.590724,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,184,f
2023-03-29 16:22:21.691016,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-29 16:22:22.713333,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,117,f
2023-03-29 16:22:23.710348,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-29 16:22:24.711633,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-29 16:22:25.712638,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-29 16:22:26.695384,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,77,f
2023-03-29 16:22:27.704403,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,105,f
2023-03-29 16:22:28.697924,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,89,f
2023-03-29 16:22:29.695779,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-29 16:22:30.697044,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-29 16:22:31.696942,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-29 16:22:32.694615,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-29 16:22:33.696339,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-29 16:22:34.658559,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:35.62055,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,58,f
2023-03-29 16:22:36.592141,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,66,f
2023-03-29 16:22:37.590719,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-29 16:22:38.589542,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-29 16:22:39.591574,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-29 16:22:40.554315,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:41.518968,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,58,f
2023-03-29 16:22:42.4803,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:43.444084,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,59,f
2023-03-29 16:22:44.405144,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:45.390767,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,81,f
2023-03-29 16:22:46.354667,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:47.31684,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:48.288808,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,68,f
2023-03-29 16:22:49.250941,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:50.21287,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,57,f
2023-03-29 16:22:51.203845,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,85,f
2023-03-29 16:22:52.197217,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,89,f
2023-03-29 16:22:53.200142,thumbnailer,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,98,f
