timestamp,node,function,namespace,community,latency,gpu
2023-03-24 15:41:19.981489,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,266,f
2023-03-24 15:41:21.090741,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,204,f
2023-03-24 15:41:22.191686,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,196,f
2023-03-24 15:41:23.287895,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,191,f
2023-03-24 15:41:24.38955,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,196,f
2023-03-24 15:41:25.489439,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,191,f
2023-03-24 15:41:26.681366,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,286,f
2023-03-24 15:41:27.789611,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,203,f
2023-03-24 15:41:28.889606,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,195,f
2023-03-24 15:41:29.990043,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,195,f
2023-03-24 15:41:31.089431,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,191,f
2023-03-24 15:41:32.096034,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,102,f
2023-03-24 15:41:33.176386,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,175,f
2023-03-24 15:41:34.195951,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,114,f
2023-03-24 15:41:35.200235,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,99,f
2023-03-24 15:41:36.19933,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,90,f
2023-03-24 15:41:37.198474,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,94,f
2023-03-24 15:41:38.189142,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,86,f
2023-03-24 15:41:39.188301,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,94,f
2023-03-24 15:41:40.183045,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,90,f
2023-03-24 15:41:41.185147,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,94,f
2023-03-24 15:41:42.182825,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,94,f
2023-03-24 15:41:43.181505,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,94,f
2023-03-24 15:41:44.175182,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,90,f
2023-03-24 15:41:45.136673,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-24 15:41:55.136439,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:41:56.096332,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:41:57.056332,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:41:58.015473,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,55,f
2023-03-24 15:41:58.97559,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:41:59.938545,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:42:00.899748,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-24 15:42:01.859972,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:42:02.820519,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:42:03.781593,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-24 15:42:04.744353,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,56,f
2023-03-24 15:42:05.705516,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-24 15:42:06.760068,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,164,f
2023-03-24 15:42:07.852286,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,187,f
2023-03-24 15:42:08.888839,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,118,f
