timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-21 09:09:38.936956,k3s-master,"",cpu-monitoring-7bbd5b549b-6zq9v,kube-system,19,0,0,""
2023-03-21 09:09:39.13703,k3s-master,"",dispatcher-c75bq,default,1,0,0,""
2023-03-21 09:09:39.336097,ea-k3s-node-us-east-2-3,"",svclb-traefik-4qfmv,kube-system,0,0,0,""
2023-03-21 09:09:39.537186,ea-k3s-node-us-east-2-2,compression,compression-v53vsjg5,openfaas-fn,1,200,200,community-2
2023-03-21 09:09:39.737341,k3s-master,"",flannel-fixer-deployment-5c468f87f8-vvssv,kube-system,1,0,0,""
2023-03-21 09:09:39.936543,ea-k3s-node-us-east-2-1,"",dispatcher-ks9ln,default,1,0,0,""
2023-03-21 09:09:40.136827,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-mhc9r,kube-system,31,0,0,""
2023-03-21 09:09:40.337029,k3s-master,"",custom-metrics-apiserver-8586695c47-vw52s,custom-metrics,6,200,200,""
2023-03-21 09:09:40.53618,k3s-master,"",allocation-algorithm-679c5fcc65-w8hnn,default,16,500,1000,""
2023-03-21 09:09:40.73634,k3s-master,"",coredns-5b5bf59798-qqfl9,kube-system,3,0,0,""
2023-03-21 09:09:40.936563,ea-k3s-node-us-east-2-2,"",svclb-traefik-mfbkn,kube-system,0,0,0,""
2023-03-21 09:09:41.136374,k3s-master,"",monitoring-747bdc64bc-txjnr,default,0,0,0,""
2023-03-21 09:09:46.138479,ea-k3s-node-us-east-2-3,"",delay-discovery-bznt9,default,0,0,0,""
2023-03-21 09:09:46.13996,ea-k3s-node-us-east-2-3,"",dispatcher-h277m,default,1,0,0,""
2023-03-21 09:09:46.141364,ea-k3s-node-us-east-2-3,"",edge-system-controller-847d657d8b-j2xr7,kube-system,1,100,200,""
2023-03-21 09:09:46.142638,k3s-master,"",community-2-676fc9656c-l9gnq,openfaas-fn,1,200,200,""
2023-03-21 09:09:46.143892,k3s-master,"",metrics-server-c6799cf48-npcmf,kube-system,6,0,0,""
2023-03-21 09:09:46.14513,k3s-master,"",cpu-monitoring-7bbd5b549b-6zq9v,kube-system,19,0,0,""
2023-03-21 09:09:46.146701,k3s-master,"",dispatcher-c75bq,default,1,0,0,""
2023-03-21 09:09:46.147955,ea-k3s-node-us-east-2-3,"",svclb-traefik-4qfmv,kube-system,0,0,0,""
2023-03-21 09:09:46.149201,ea-k3s-node-us-east-2-2,compression,compression-v53vsjg5,openfaas-fn,1,200,200,community-2
2023-03-21 09:09:46.150402,k3s-master,"",flannel-fixer-deployment-5c468f87f8-vvssv,kube-system,1,0,0,""
2023-03-21 09:09:46.33848,ea-k3s-node-us-east-2-1,"",dispatcher-ks9ln,default,1,0,0,""
2023-03-21 09:09:46.539143,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-mhc9r,kube-system,31,0,0,""
2023-03-21 09:09:46.739103,k3s-master,"",custom-metrics-apiserver-8586695c47-vw52s,custom-metrics,6,200,200,""
2023-03-21 09:09:46.939049,k3s-master,"",allocation-algorithm-679c5fcc65-w8hnn,default,16,500,1000,""
2023-03-21 09:09:47.138657,k3s-master,"",coredns-5b5bf59798-qqfl9,kube-system,3,0,0,""
2023-03-21 09:09:47.339465,ea-k3s-node-us-east-2-2,"",svclb-traefik-mfbkn,kube-system,0,0,0,""
2023-03-21 09:09:47.539119,k3s-master,"",monitoring-747bdc64bc-txjnr,default,0,0,0,""
2023-03-21 09:09:47.740159,k3s-master,"",svclb-traefik-grmjf,kube-system,0,0,0,""
2023-03-21 09:09:47.940479,ea-k3s-node-us-east-2-1,"",delay-discovery-8krmw,default,0,0,0,""
2023-03-21 09:09:48.140571,ea-k3s-node-us-east-2-1,"",slpa-algorithm-76cd7d9b97-zz2mx,default,1,100,200,""
2023-03-21 09:09:48.340713,ea-k3s-node-us-east-2-2,"",delay-discovery-hcl7q,default,0,0,0,""
2023-03-21 09:09:48.540688,ea-k3s-node-us-east-2-2,"",dispatcher-6ljhm,default,1,0,0,""
2023-03-21 09:09:48.74084,ea-k3s-node-us-east-2-1,"",svclb-traefik-82xzl,kube-system,0,0,0,""
2023-03-21 09:09:48.940613,ea-k3s-node-us-east-2-2,thumbnailer,thumbnailer-wh990cen,openfaas-fn,20,558,558,community-2
2023-03-21 09:09:49.139747,k3s-master,"",podscale-controller-57f68c67fc-d584p,kube-system,3,100,200,""
2023-03-21 09:09:49.340518,k3s-master,"",local-path-provisioner-79c4646df5-grdtb,kube-system,1,0,0,""
2023-03-21 09:09:49.740497,ea-k3s-node-us-east-2-2,dynamic-html,dynamic-html-piaq063j,openfaas-fn,1,200,200,community-2
2023-03-21 09:09:49.940437,k3s-master,"",pod-autoscaler-76b6884b54-8vfh5,kube-system,1,500,500,""
2023-03-21 09:09:50.140559,ea-k3s-node-us-east-2-3,"",workload-5cb5f8bd4d-lqgg7,default,1,0,0,""
2023-03-21 09:09:50.340503,k3s-master,"",delay-discovery-bg7ld,default,3,0,0,""
2023-03-21 09:09:50.540487,k3s-master,"",traefik-7f48667fb9-wvr8l,kube-system,4,0,0,""
2023-03-21 09:09:55.546113,k3s-master,"",allocation-algorithm-679c5fcc65-w8hnn,default,16,500,1000,""
2023-03-21 09:09:55.549334,k3s-master,"",flannel-fixer-deployment-5c468f87f8-vvssv,kube-system,1,0,0,""
2023-03-21 09:09:55.55244,ea-k3s-node-us-east-2-1,"",dispatcher-ks9ln,default,1,0,0,""
2023-03-21 09:09:55.555138,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-mhc9r,kube-system,31,0,0,""
2023-03-21 09:09:55.557911,k3s-master,"",custom-metrics-apiserver-8586695c47-vw52s,custom-metrics,6,200,200,""
2023-03-21 09:09:55.561031,k3s-master,"",coredns-5b5bf59798-qqfl9,kube-system,3,0,0,""
2023-03-21 09:09:55.563673,ea-k3s-node-us-east-2-2,"",svclb-traefik-mfbkn,kube-system,0,0,0,""
2023-03-21 09:09:55.566264,k3s-master,"",monitoring-747bdc64bc-txjnr,default,0,0,0,""
2023-03-21 09:09:55.567748,ea-k3s-node-us-east-2-1,"",svclb-traefik-82xzl,kube-system,0,0,0,""
2023-03-21 09:09:55.569185,ea-k3s-node-us-east-2-2,thumbnailer,thumbnailer-wh990cen,openfaas-fn,20,591,591,community-2
2023-03-21 09:09:55.745142,k3s-master,"",svclb-traefik-grmjf,kube-system,0,0,0,""
2023-03-21 09:09:55.945412,ea-k3s-node-us-east-2-1,"",delay-discovery-8krmw,default,0,0,0,""
2023-03-21 09:09:56.144954,ea-k3s-node-us-east-2-1,"",slpa-algorithm-76cd7d9b97-zz2mx,default,1,100,200,""
2023-03-21 09:09:56.345826,ea-k3s-node-us-east-2-2,"",delay-discovery-hcl7q,default,0,0,0,""
