timestamp,node,function,namespace,community,latency,gpu
2023-03-24 18:37:22.796647,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,803,f
2023-03-24 18:37:24.099219,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,397,f
2023-03-24 18:37:25.483913,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,480,f
2023-03-24 18:37:27.200418,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,813,f
2023-03-24 18:37:28.499696,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,395,f
2023-03-24 18:37:29.884553,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,475,f
2023-03-24 18:37:31.284691,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,493,f
2023-03-24 18:37:32.497406,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,306,f
2023-03-24 18:37:33.696935,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,293,f
2023-03-24 18:37:34.889843,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,287,f
2023-03-24 18:37:36.089319,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,290,f
2023-03-24 18:37:37.292868,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,299,f
2023-03-24 18:37:38.397497,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,201,f
2023-03-24 18:37:39.485046,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,183,f
2023-03-24 18:37:40.532024,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,142,f
2023-03-24 18:37:41.593893,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,154,f
2023-03-24 18:37:42.686338,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,188,f
2023-03-24 18:37:43.790584,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,200,f
2023-03-24 18:37:44.817953,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,123,f
2023-03-24 18:37:45.815638,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 18:37:46.822741,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,97,f
2023-03-24 18:37:47.827373,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 18:37:48.829727,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
