timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 18:37:27.559256,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-nlx22,kube-system,1,100,200,""
2023-03-24 18:37:27.56055,ea-k3s-node-eu-west-1-2,"",svclb-traefik-g27jl,kube-system,0,0,0,""
2023-03-24 18:37:27.561871,k3s-master,"",delay-discovery-zc9ct,default,0,0,0,""
2023-03-24 18:37:27.563055,k3s-master,"",pod-autoscaler-76b6884b54-c2zd2,kube-system,2,500,500,""
2023-03-24 18:37:27.564839,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-77df96cb9b-jh968,default,1,500,1000,""
2023-03-24 18:37:27.566011,ea-k3s-node-eu-west-1-3,"",svclb-traefik-6lwwf,kube-system,0,0,0,""
2023-03-24 18:37:27.567305,ea-k3s-node-eu-west-1-1,"",svclb-traefik-2rjgh,kube-system,0,0,0,""
2023-03-24 18:37:27.568435,k3s-master,"",local-path-provisioner-79c4646df5-rt88x,kube-system,1,0,0,""
2023-03-24 18:37:27.569766,k3s-master,"",cpu-monitoring-7bbd5b549b-jwsf4,kube-system,20,0,0,""
2023-03-24 18:37:27.571418,k3s-master,"",monitoring-747bdc64bc-twbvz,default,0,0,0,""
2023-03-24 18:37:27.760042,ea-k3s-node-eu-west-1-1,"",dispatcher-xbmxm,default,1,0,0,""
2023-03-24 18:37:27.959308,k3s-master,"",flannel-fixer-deployment-5c468f87f8-ss67m,kube-system,1,0,0,""
2023-03-24 18:37:28.159442,k3s-master,"",svclb-traefik-zzzxk,kube-system,0,0,0,""
2023-03-24 18:37:28.359683,ea-k3s-node-eu-west-1-3,"",dispatcher-mq5k5,default,1,0,0,""
2023-03-24 18:37:28.55961,k3s-master,"",coredns-5b5bf59798-8t2tb,kube-system,3,0,0,""
2023-03-24 18:37:28.759871,k3s-master,"",traefik-7f48667fb9-bwgst,kube-system,3,0,0,""
2023-03-24 18:37:28.959701,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-hbshg,default,1,100,200,""
2023-03-24 18:37:29.159145,k3s-master,"",metrics-server-c6799cf48-xlz5v,kube-system,4,0,0,""
2023-03-24 18:37:29.359652,ea-k3s-node-eu-west-1-1,graph-bfs,graph-bfs-ieyoh54e,openfaas-fn,1,200,200,community-1
2023-03-24 18:37:29.560258,ea-k3s-node-eu-west-1-3,"",delay-discovery-5pdp7,default,0,0,0,""
2023-03-24 18:37:29.76086,ea-k3s-node-eu-west-1-1,"",delay-discovery-frt2b,default,0,0,0,""
2023-03-24 18:37:29.960279,ea-k3s-node-eu-west-1-2,"",dispatcher-mm9qd,default,1,0,0,""
2023-03-24 18:37:30.159912,k3s-master,"",custom-metrics-apiserver-8586695c47-9jg6c,custom-metrics,6,200,200,""
2023-03-24 18:37:30.560457,k3s-master,"",dispatcher-8jvxk,default,1,0,0,""
2023-03-24 18:37:30.760299,k3s-master,"",podscale-controller-57f68c67fc-4jmkc,kube-system,3,100,200,""
2023-03-24 18:37:30.960919,ea-k3s-node-eu-west-1-3,"",metrics-database-6c5586d74-wcmsl,kube-system,17,0,0,""
2023-03-24 18:37:31.160455,k3s-master,"",community-1-7dddd9c85c-msf9x,openfaas-fn,2,200,200,""
2023-03-24 18:37:31.360859,ea-k3s-node-eu-west-1-2,"",delay-discovery-468gc,default,0,0,0,""
2023-03-24 18:37:31.560849,ea-k3s-node-eu-west-1-2,"",workload-5cb5f8bd4d-fqdjd,default,1,0,0,""
2023-03-24 18:37:36.566738,ea-k3s-node-eu-west-1-3,"",dispatcher-mq5k5,default,1,0,0,""
2023-03-24 18:37:36.569752,k3s-master,"",coredns-5b5bf59798-8t2tb,kube-system,3,0,0,""
2023-03-24 18:37:36.572286,k3s-master,"",metrics-server-c6799cf48-xlz5v,kube-system,4,0,0,""
2023-03-24 18:37:36.574381,ea-k3s-node-eu-west-1-1,graph-bfs,graph-bfs-ieyoh54e,openfaas-fn,1,300,300,community-1
2023-03-24 18:37:36.576386,k3s-master,"",traefik-7f48667fb9-bwgst,kube-system,3,0,0,""
2023-03-24 18:37:36.578455,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-hbshg,default,1,100,200,""
2023-03-24 18:37:36.58008,ea-k3s-node-eu-west-1-3,"",delay-discovery-5pdp7,default,0,0,0,""
2023-03-24 18:37:36.581226,ea-k3s-node-eu-west-1-1,"",delay-discovery-frt2b,default,0,0,0,""
2023-03-24 18:37:36.582448,k3s-master,"",dispatcher-8jvxk,default,1,0,0,""
2023-03-24 18:37:36.583566,k3s-master,"",podscale-controller-57f68c67fc-4jmkc,kube-system,3,100,200,""
