timestamp,node,function,namespace,community,latency,gpu
2023-03-24 16:38:08.286471,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,826,f
2023-03-24 16:38:09.598854,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,407,f
2023-03-24 16:38:11.386308,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,883,f
2023-03-24 16:38:12.697788,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,407,f
2023-03-24 16:38:13.894099,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,292,f
2023-03-24 16:38:15.086824,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,284,f
2023-03-24 16:38:16.289902,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,297,f
2023-03-24 16:38:17.416022,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,222,f
2023-03-24 16:38:18.589082,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,268,f
2023-03-24 16:38:19.689698,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,197,f
2023-03-24 16:38:20.794192,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,196,f
2023-03-24 16:38:21.82749,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,129,f
2023-03-24 16:38:22.888693,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,156,f
2023-03-24 16:38:23.988075,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,195,f
2023-03-24 16:38:25.086456,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,194,f
2023-03-24 16:38:30.614222,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:38:31.616858,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:38:32.616787,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:33.621326,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,100,f
2023-03-24 16:38:34.836294,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,309,f
2023-03-24 16:38:35.840194,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:36.839188,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:38:37.836107,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:38.83307,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:39.830498,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:40.833384,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:38:41.829541,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,91,f
2023-03-24 16:38:42.82751,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:43.823199,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,92,f
2023-03-24 16:38:44.823017,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:45.822385,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,92,f
2023-03-24 16:38:46.821379,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:38:47.818573,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:48.816249,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:49.81753,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,97,f
2023-03-24 16:38:50.823823,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:38:51.824961,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:38:52.825041,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:53.82251,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:38:54.818656,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,92,f
2023-03-24 16:38:55.822058,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:56.823079,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:38:57.822366,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:38:58.819641,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:38:59.814498,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,91,f
2023-03-24 16:39:00.812791,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,90,f
2023-03-24 16:39:01.808675,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,91,f
2023-03-24 16:39:02.810782,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:03.808036,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:39:04.810351,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:05.811695,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:39:06.81188,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:07.811588,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:08.807484,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,91,f
2023-03-24 16:39:09.805748,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:39:10.809906,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:11.809215,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:39:12.806442,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-24 16:39:13.803751,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:39:14.806034,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:15.812925,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:16.813849,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,95,f
2023-03-24 16:39:17.812028,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:39:18.814221,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,97,f
2023-03-24 16:39:19.817846,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:25.342261,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:26.341613,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,93,f
2023-03-24 16:39:27.342253,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:28.345061,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:29.345906,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,97,f
2023-03-24 16:39:39.391463,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:40.395256,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,98,f
2023-03-24 16:39:41.395314,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,96,f
2023-03-24 16:39:42.398803,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,99,f
