timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-26 00:08:42.39928,k3s-master,"",metrics-server-c6799cf48-r5b7r,kube-system,5,0,0,""
2023-03-26 00:08:42.400533,k3s-master,"",delay-discovery-cjgps,default,0,0,0,""
2023-03-26 00:08:42.401745,ea-k3s-node-eu-west-2-3,"",delay-discovery-zvfdk,default,0,0,0,""
2023-03-26 00:08:42.404663,ea-k3s-node-eu-west-2-3,"",svclb-traefik-75zqt,kube-system,0,0,0,""
2023-03-26 00:08:42.405815,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-xzt9z,kube-system,1,100,200,""
2023-03-26 00:08:42.406884,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-5tqc7,kube-system,3,0,0,""
2023-03-26 00:08:42.407987,k3s-master,"",flannel-fixer-deployment-5c468f87f8-tk6bm,kube-system,1,0,0,""
2023-03-26 00:08:42.409074,ea-k3s-node-eu-west-2-2,"",delay-discovery-dhnfd,default,2,0,0,""
2023-03-26 00:08:42.41137,k3s-master,"",svclb-traefik-n527c,kube-system,0,0,0,""
2023-03-26 00:08:42.60093,k3s-master,"",monitoring-747bdc64bc-rk8g7,default,0,0,0,""
2023-03-26 00:08:42.799786,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-fvv9r,default,1,100,200,""
2023-03-26 00:08:42.999587,k3s-master,"",pod-autoscaler-76b6884b54-6sw8n,kube-system,2,500,500,""
2023-03-26 00:08:43.19983,ea-k3s-node-eu-west-2-2,"",dispatcher-98nd8,default,1,0,0,""
2023-03-26 00:08:43.399639,k3s-master,"",community-2-676fc9656c-hqhhx,openfaas-fn,1,200,200,""
2023-03-26 00:08:43.600711,k3s-master,"",traefik-7f48667fb9-qmg8c,kube-system,7,0,0,""
2023-03-26 00:08:43.800415,k3s-master,"",allocation-algorithm-77df96cb9b-6jmbj,default,1,500,1000,""
2023-03-26 00:08:43.999498,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-1244ols7,openfaas-fn,1,200,200,community-2
2023-03-26 00:08:44.200688,ea-k3s-node-eu-west-2-1,"",delay-discovery-m6n5v,default,0,0,0,""
2023-03-26 00:08:44.40045,ea-k3s-node-eu-west-2-3,"",dispatcher-d2wqs,default,1,0,0,""
2023-03-26 00:08:44.601383,k3s-master,"",coredns-5b5bf59798-5djfn,kube-system,3,0,0,""
2023-03-26 00:08:44.800597,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-qww4p,default,1,0,0,""
2023-03-26 00:08:44.999397,ea-k3s-node-eu-west-2-3,compression,compression-ieyoh54e,openfaas-fn,1,300,300,community-2
2023-03-26 00:08:45.200173,ea-k3s-node-eu-west-2-1,"",dispatcher-6p2k7,default,1,0,0,""
2023-03-26 00:08:45.400979,k3s-master,"",custom-metrics-apiserver-8586695c47-57kqk,custom-metrics,5,200,200,""
2023-03-26 00:08:45.600818,ea-k3s-node-eu-west-2-2,"",svclb-traefik-vpnvk,kube-system,0,0,0,""
2023-03-26 00:08:45.800978,k3s-master,"",podscale-controller-57f68c67fc-n2wcm,kube-system,3,100,200,""
2023-03-26 00:08:46.000951,ea-k3s-node-eu-west-2-1,"",svclb-traefik-tv2sx,kube-system,0,0,0,""
2023-03-26 00:08:46.200227,k3s-master,"",local-path-provisioner-79c4646df5-l86l2,kube-system,1,0,0,""
2023-03-26 00:08:46.400402,k3s-master,"",dispatcher-7cj46,default,1,0,0,""
2023-03-26 00:08:46.601054,k3s-master,"",cpu-monitoring-7bbd5b549b-lgh7l,kube-system,14,0,0,""
2023-03-26 00:08:51.605646,k3s-master,"",cpu-monitoring-7bbd5b549b-lgh7l,kube-system,14,0,0,""
2023-03-26 00:08:51.606974,k3s-master,"",dispatcher-7cj46,default,1,0,0,""
2023-03-26 00:08:51.609264,k3s-master,"",metrics-server-c6799cf48-r5b7r,kube-system,5,0,0,""
2023-03-26 00:08:51.611391,ea-k3s-node-eu-west-2-3,"",delay-discovery-zvfdk,default,0,0,0,""
2023-03-26 00:08:51.6156,ea-k3s-node-eu-west-2-3,"",svclb-traefik-75zqt,kube-system,0,0,0,""
2023-03-26 00:08:51.617629,k3s-master,"",delay-discovery-cjgps,default,0,0,0,""
2023-03-26 00:08:51.618815,k3s-master,"",svclb-traefik-n527c,kube-system,0,0,0,""
2023-03-26 00:08:51.619874,k3s-master,"",monitoring-747bdc64bc-rk8g7,default,0,0,0,""
2023-03-26 00:08:51.621741,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-fvv9r,default,1,100,200,""
2023-03-26 00:08:51.806981,k3s-master,"",pod-autoscaler-76b6884b54-6sw8n,kube-system,2,500,500,""
2023-03-26 00:08:52.007613,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-xzt9z,kube-system,1,100,200,""
2023-03-26 00:08:52.206797,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-5tqc7,kube-system,3,0,0,""
2023-03-26 00:08:52.406948,k3s-master,"",flannel-fixer-deployment-5c468f87f8-tk6bm,kube-system,1,0,0,""
2023-03-26 00:08:52.607679,ea-k3s-node-eu-west-2-2,"",delay-discovery-dhnfd,default,2,0,0,""
2023-03-26 00:08:52.80734,k3s-master,"",community-2-676fc9656c-hqhhx,openfaas-fn,1,200,200,""
2023-03-26 00:08:53.006872,ea-k3s-node-eu-west-2-2,"",dispatcher-98nd8,default,1,0,0,""
2023-03-26 00:08:53.206582,k3s-master,"",allocation-algorithm-77df96cb9b-6jmbj,default,1,500,1000,""
2023-03-26 00:08:53.406372,k3s-master,"",traefik-7f48667fb9-qmg8c,kube-system,7,0,0,""
2023-03-26 00:08:53.606197,ea-k3s-node-eu-west-2-3,"",dispatcher-d2wqs,default,1,0,0,""
2023-03-26 00:08:53.806367,k3s-master,"",coredns-5b5bf59798-5djfn,kube-system,3,0,0,""
2023-03-26 00:08:54.00587,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-qww4p,default,1,0,0,""
2023-03-26 00:08:54.207485,ea-k3s-node-eu-west-2-3,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-2
2023-03-26 00:08:54.407187,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-1244ols7,openfaas-fn,1,200,200,community-2
2023-03-26 00:08:54.606514,ea-k3s-node-eu-west-2-1,"",delay-discovery-m6n5v,default,0,0,0,""
2023-03-26 00:08:54.806101,ea-k3s-node-eu-west-2-2,"",svclb-traefik-vpnvk,kube-system,0,0,0,""
2023-03-26 00:08:55.0059,k3s-master,"",podscale-controller-57f68c67fc-n2wcm,kube-system,3,100,200,""
2023-03-26 00:08:55.206347,ea-k3s-node-eu-west-2-1,"",svclb-traefik-tv2sx,kube-system,0,0,0,""
2023-03-26 00:08:55.407107,k3s-master,"",local-path-provisioner-79c4646df5-l86l2,kube-system,1,0,0,""
2023-03-26 00:08:55.607063,ea-k3s-node-eu-west-2-1,"",dispatcher-6p2k7,default,1,0,0,""
2023-03-26 00:08:55.807168,k3s-master,"",custom-metrics-apiserver-8586695c47-57kqk,custom-metrics,5,200,200,""
2023-03-26 00:09:00.810906,ea-k3s-node-eu-west-2-1,"",delay-discovery-m6n5v,default,0,0,0,""
2023-03-26 00:09:00.81311,ea-k3s-node-eu-west-2-3,"",dispatcher-d2wqs,default,1,0,0,""
2023-03-26 00:09:00.815235,k3s-master,"",coredns-5b5bf59798-5djfn,kube-system,3,0,0,""
2023-03-26 00:09:00.817264,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-qww4p,default,1,0,0,""
2023-03-26 00:09:00.818564,ea-k3s-node-eu-west-2-3,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:00.820203,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-1244ols7,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:00.821369,k3s-master,"",custom-metrics-apiserver-8586695c47-57kqk,custom-metrics,5,200,200,""
2023-03-26 00:09:00.823314,ea-k3s-node-eu-west-2-2,"",svclb-traefik-vpnvk,kube-system,0,0,0,""
2023-03-26 00:09:00.82511,k3s-master,"",podscale-controller-57f68c67fc-n2wcm,kube-system,3,100,200,""
2023-03-26 00:09:00.826987,ea-k3s-node-eu-west-2-1,"",svclb-traefik-tv2sx,kube-system,0,0,0,""
2023-03-26 00:09:01.011254,k3s-master,"",local-path-provisioner-79c4646df5-l86l2,kube-system,1,0,0,""
2023-03-26 00:09:01.211374,ea-k3s-node-eu-west-2-1,"",dispatcher-6p2k7,default,1,0,0,""
2023-03-26 00:09:01.412873,k3s-master,"",dispatcher-7cj46,default,1,0,0,""
2023-03-26 00:09:01.612846,k3s-master,"",cpu-monitoring-7bbd5b549b-lgh7l,kube-system,14,0,0,""
2023-03-26 00:09:01.81301,k3s-master,"",metrics-server-c6799cf48-r5b7r,kube-system,5,0,0,""
2023-03-26 00:09:02.01272,k3s-master,"",delay-discovery-cjgps,default,0,0,0,""
2023-03-26 00:09:02.212797,ea-k3s-node-eu-west-2-3,"",delay-discovery-zvfdk,default,0,0,0,""
2023-03-26 00:09:02.612498,ea-k3s-node-eu-west-2-3,"",svclb-traefik-75zqt,kube-system,0,0,0,""
2023-03-26 00:09:02.812168,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-5tqc7,kube-system,3,0,0,""
2023-03-26 00:09:03.011913,k3s-master,"",flannel-fixer-deployment-5c468f87f8-tk6bm,kube-system,1,0,0,""
2023-03-26 00:09:03.21305,ea-k3s-node-eu-west-2-2,"",delay-discovery-dhnfd,default,2,0,0,""
2023-03-26 00:09:03.412853,k3s-master,"",svclb-traefik-n527c,kube-system,0,0,0,""
2023-03-26 00:09:03.61269,k3s-master,"",monitoring-747bdc64bc-rk8g7,default,0,0,0,""
2023-03-26 00:09:03.812329,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-fvv9r,default,1,100,200,""
2023-03-26 00:09:04.012313,k3s-master,"",pod-autoscaler-76b6884b54-6sw8n,kube-system,2,500,500,""
2023-03-26 00:09:04.213177,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-xzt9z,kube-system,1,100,200,""
2023-03-26 00:09:04.41298,ea-k3s-node-eu-west-2-2,"",dispatcher-98nd8,default,1,0,0,""
2023-03-26 00:09:04.612039,k3s-master,"",community-2-676fc9656c-hqhhx,openfaas-fn,1,200,200,""
2023-03-26 00:09:04.812751,k3s-master,"",traefik-7f48667fb9-qmg8c,kube-system,7,0,0,""
2023-03-26 00:09:05.012394,k3s-master,"",allocation-algorithm-77df96cb9b-6jmbj,default,1,500,1000,""
2023-03-26 00:09:10.016024,k3s-master,"",dispatcher-7cj46,default,1,0,0,""
2023-03-26 00:09:10.017414,k3s-master,"",cpu-monitoring-7bbd5b549b-lgh7l,kube-system,14,0,0,""
2023-03-26 00:09:10.01869,k3s-master,"",metrics-server-c6799cf48-r5b7r,kube-system,5,0,0,""
2023-03-26 00:09:10.020446,ea-k3s-node-eu-west-2-3,"",svclb-traefik-75zqt,kube-system,0,0,0,""
2023-03-26 00:09:10.022282,k3s-master,"",delay-discovery-cjgps,default,0,0,0,""
2023-03-26 00:09:10.023614,ea-k3s-node-eu-west-2-3,"",delay-discovery-zvfdk,default,0,0,0,""
2023-03-26 00:09:10.025934,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-fvv9r,default,1,100,200,""
2023-03-26 00:09:10.027065,k3s-master,"",pod-autoscaler-76b6884b54-6sw8n,kube-system,2,500,500,""
2023-03-26 00:09:10.028155,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-xzt9z,kube-system,1,100,200,""
2023-03-26 00:09:10.216412,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-5tqc7,kube-system,3,0,0,""
2023-03-26 00:09:10.417085,k3s-master,"",flannel-fixer-deployment-5c468f87f8-tk6bm,kube-system,1,0,0,""
2023-03-26 00:09:10.616862,ea-k3s-node-eu-west-2-2,"",delay-discovery-dhnfd,default,2,0,0,""
2023-03-26 00:09:10.816389,k3s-master,"",svclb-traefik-n527c,kube-system,0,0,0,""
2023-03-26 00:09:11.016541,k3s-master,"",monitoring-747bdc64bc-rk8g7,default,0,0,0,""
2023-03-26 00:09:11.216397,ea-k3s-node-eu-west-2-2,"",dispatcher-98nd8,default,1,0,0,""
2023-03-26 00:09:11.416996,k3s-master,"",community-2-676fc9656c-hqhhx,openfaas-fn,1,200,200,""
2023-03-26 00:09:11.616232,k3s-master,"",traefik-7f48667fb9-qmg8c,kube-system,7,0,0,""
2023-03-26 00:09:11.816702,k3s-master,"",allocation-algorithm-77df96cb9b-6jmbj,default,1,500,1000,""
2023-03-26 00:09:12.017774,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-qww4p,default,1,0,0,""
2023-03-26 00:09:12.217276,ea-k3s-node-eu-west-2-3,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:12.418285,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-1244ols7,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:12.617948,ea-k3s-node-eu-west-2-1,"",delay-discovery-m6n5v,default,0,0,0,""
2023-03-26 00:09:12.817799,ea-k3s-node-eu-west-2-3,"",dispatcher-d2wqs,default,1,0,0,""
2023-03-26 00:09:13.017737,k3s-master,"",coredns-5b5bf59798-5djfn,kube-system,3,0,0,""
2023-03-26 00:09:13.217303,ea-k3s-node-eu-west-2-1,"",svclb-traefik-tv2sx,kube-system,0,0,0,""
2023-03-26 00:09:13.41805,k3s-master,"",local-path-provisioner-79c4646df5-l86l2,kube-system,1,0,0,""
2023-03-26 00:09:13.617961,ea-k3s-node-eu-west-2-1,"",dispatcher-6p2k7,default,1,0,0,""
2023-03-26 00:09:13.817175,k3s-master,"",custom-metrics-apiserver-8586695c47-57kqk,custom-metrics,5,200,200,""
2023-03-26 00:09:14.017612,ea-k3s-node-eu-west-2-2,"",svclb-traefik-vpnvk,kube-system,0,0,0,""
2023-03-26 00:09:14.217842,k3s-master,"",podscale-controller-57f68c67fc-n2wcm,kube-system,3,100,200,""
2023-03-26 00:09:19.220268,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-qww4p,default,1,0,0,""
2023-03-26 00:09:19.22163,ea-k3s-node-eu-west-2-3,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:19.223223,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-1244ols7,openfaas-fn,1,200,200,community-2
2023-03-26 00:09:19.224369,ea-k3s-node-eu-west-2-1,"",delay-discovery-m6n5v,default,0,0,0,""
2023-03-26 00:09:19.225526,ea-k3s-node-eu-west-2-3,"",dispatcher-d2wqs,default,1,0,0,""
2023-03-26 00:09:19.226604,k3s-master,"",coredns-5b5bf59798-5djfn,kube-system,3,0,0,""
2023-03-26 00:09:19.227701,ea-k3s-node-eu-west-2-1,"",svclb-traefik-tv2sx,kube-system,0,0,0,""
2023-03-26 00:09:19.228778,k3s-master,"",local-path-provisioner-79c4646df5-l86l2,kube-system,1,0,0,""
2023-03-26 00:09:19.229868,ea-k3s-node-eu-west-2-1,"",dispatcher-6p2k7,default,1,0,0,""
2023-03-26 00:09:19.230989,k3s-master,"",custom-metrics-apiserver-8586695c47-57kqk,custom-metrics,5,200,200,""
2023-03-26 00:09:19.420383,ea-k3s-node-eu-west-2-2,"",svclb-traefik-vpnvk,kube-system,0,0,0,""
2023-03-26 00:09:19.621053,k3s-master,"",podscale-controller-57f68c67fc-n2wcm,kube-system,3,100,200,""
2023-03-26 00:09:19.821496,k3s-master,"",dispatcher-7cj46,default,1,0,0,""
2023-03-26 00:09:20.022288,k3s-master,"",cpu-monitoring-7bbd5b549b-lgh7l,kube-system,14,0,0,""
2023-03-26 00:09:20.222459,k3s-master,"",metrics-server-c6799cf48-r5b7r,kube-system,5,0,0,""
2023-03-26 00:09:20.42215,ea-k3s-node-eu-west-2-3,"",svclb-traefik-75zqt,kube-system,0,0,0,""
2023-03-26 00:09:20.622126,k3s-master,"",delay-discovery-cjgps,default,0,0,0,""
2023-03-26 00:09:20.821514,ea-k3s-node-eu-west-2-3,"",delay-discovery-zvfdk,default,0,0,0,""
2023-03-26 00:09:21.221306,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-fvv9r,default,1,100,200,""
2023-03-26 00:09:21.421273,k3s-master,"",pod-autoscaler-76b6884b54-6sw8n,kube-system,2,500,500,""
2023-03-26 00:09:21.621272,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-xzt9z,kube-system,1,100,200,""
2023-03-26 00:09:21.821689,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-5tqc7,kube-system,3,0,0,""
2023-03-26 00:09:22.02178,k3s-master,"",flannel-fixer-deployment-5c468f87f8-tk6bm,kube-system,1,0,0,""
2023-03-26 00:09:22.221624,ea-k3s-node-eu-west-2-2,"",delay-discovery-dhnfd,default,2,0,0,""
2023-03-26 00:09:22.422014,k3s-master,"",svclb-traefik-n527c,kube-system,0,0,0,""
