timestamp,node,function,namespace,community,latency,gpu
2023-03-26 00:52:31.423818,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:52:32.422396,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:52:33.424311,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:52:34.423032,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:52:35.421355,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:52:36.35776,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,27,f
2023-03-26 00:52:37.288385,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,26,f
2023-03-26 00:52:38.220097,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,27,f
2023-03-26 00:52:39.150904,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,26,f
2023-03-26 00:52:40.083899,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,28,f
2023-03-26 00:52:50.125132,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,86,f
2023-03-26 00:52:51.12315,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:52:52.12612,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:52:53.124602,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 00:52:54.123494,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 00:52:59.621537,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,65,f
2023-03-26 00:53:00.623705,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:53:01.625315,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:02.622739,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:03.62347,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:04.623804,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:05.6222,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:06.624692,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:07.622691,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:08.624773,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:09.623318,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:10.625081,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:11.626229,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:12.55678,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,26,f
2023-03-26 00:53:13.486781,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,26,f
2023-03-26 00:53:14.422986,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,26,f
2023-03-26 00:53:15.420051,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:16.421435,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:17.431917,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,106,f
2023-03-26 00:53:18.421265,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,85,f
2023-03-26 00:53:23.924525,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,69,f
2023-03-26 00:53:24.922094,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:25.925048,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:53:26.923642,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 00:53:27.921801,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:28.9217,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:29.921012,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:30.92352,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:31.921789,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:32.924124,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:33.923661,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:34.925286,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:35.923722,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:36.926225,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:53:37.924001,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:38.923133,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:39.920993,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:40.922365,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:41.923458,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:42.924486,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:43.920865,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,85,f
2023-03-26 00:53:44.92743,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,101,f
2023-03-26 00:53:45.92313,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-26 00:53:46.926563,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:53:47.921584,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:48.926606,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,95,f
2023-03-26 00:53:49.924618,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:50.922179,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:51.923387,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:52.920737,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:53.921373,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:54.923734,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
2023-03-26 00:53:55.922766,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:56.9262,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 00:53:57.925345,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 00:53:58.924304,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,89,f
2023-03-26 00:53:59.922884,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 00:54:00.924334,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,97,f
