timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-25 14:58:08.339328,pod-graph-bfs-gta6m2zc,,0.675,0.675
2023-03-25 14:58:08.339328,pod-graph-bfs-4h4x0kce,,1.27,1.27
2023-03-25 14:59:55.769224,pod-graph-bfs-4h4x0kce,,1.356,1.356
2023-03-25 14:59:58.862715,pod-graph-bfs-4h4x0kce,,1.356,1.356
2023-03-25 14:59:55.769224,pod-graph-bfs-gta6m2zc,,0.975,0.975
2023-03-25 14:59:58.862715,pod-graph-bfs-gta6m2zc,,0.975,0.975
2023-03-25 15:00:01.922616,pod-graph-bfs-4h4x0kce,,1.436,1.436
2023-03-25 15:00:05.015239,pod-graph-bfs-4h4x0kce,,1.436,1.436
2023-03-25 15:00:08.073509,pod-graph-bfs-4h4x0kce,,1.351,1.351
2023-03-25 15:00:11.131282,pod-graph-bfs-4h4x0kce,,1.351,1.351
2023-03-25 15:00:14.191283,pod-graph-bfs-4h4x0kce,,1.435,1.435
2023-03-25 15:00:17.248907,pod-graph-bfs-4h4x0kce,,1.478,1.478
2023-03-25 15:00:20.310893,pod-graph-bfs-4h4x0kce,,1.478,1.478
2023-03-25 15:00:23.36904,pod-graph-bfs-4h4x0kce,,1.529,1.529
2023-03-25 15:00:26.429954,pod-graph-bfs-4h4x0kce,,1.529,1.529
2023-03-25 15:00:29.490223,pod-graph-bfs-4h4x0kce,,1.546,1.546
2023-03-25 15:00:01.922616,pod-graph-bfs-gta6m2zc,,1.25,1.25
2023-03-25 15:00:05.015239,pod-graph-bfs-gta6m2zc,,1.25,1.25
2023-03-25 15:00:08.073509,pod-graph-bfs-gta6m2zc,,1.403,1.403
2023-03-25 15:00:11.131282,pod-graph-bfs-gta6m2zc,,1.403,1.403
2023-03-25 15:00:14.191283,pod-graph-bfs-gta6m2zc,,1.485,1.485
2023-03-25 15:00:17.248907,pod-graph-bfs-gta6m2zc,,1.592,1.592
2023-03-25 15:00:20.310893,pod-graph-bfs-gta6m2zc,,1.592,1.592
2023-03-25 15:00:23.36904,pod-graph-bfs-gta6m2zc,,1.685,1.685
2023-03-25 15:00:26.429954,pod-graph-bfs-gta6m2zc,,1.685,1.685
2023-03-25 15:00:29.490223,pod-graph-bfs-gta6m2zc,,1.803,1.803
2023-03-25 15:00:32.548532,pod-graph-bfs-4h4x0kce,,1.546,1.546
2023-03-25 15:00:35.644518,pod-graph-bfs-4h4x0kce,,1.553,1.553
2023-03-25 15:00:38.703949,pod-graph-bfs-4h4x0kce,,1.553,1.553
2023-03-25 15:00:41.762151,pod-graph-bfs-4h4x0kce,,1.514,1.514
2023-03-25 15:00:44.820816,pod-graph-bfs-4h4x0kce,,1.514,1.514
2023-03-25 15:00:47.881081,pod-graph-bfs-4h4x0kce,,1.484,1.484
2023-03-25 15:00:50.941032,pod-graph-bfs-4h4x0kce,,1.484,1.484
2023-03-25 15:00:53.999326,pod-graph-bfs-4h4x0kce,,1.457,1.457
2023-03-25 15:00:57.061918,pod-graph-bfs-4h4x0kce,,1.457,1.457
2023-03-25 15:00:32.548532,pod-graph-bfs-gta6m2zc,,1.803,1.803
2023-03-25 15:00:35.644518,pod-graph-bfs-gta6m2zc,,1.887,1.887
2023-03-25 15:00:38.703949,pod-graph-bfs-gta6m2zc,,1.887,1.887
2023-03-25 15:00:41.762151,pod-graph-bfs-gta6m2zc,,1.932,1.932
2023-03-25 15:00:44.820816,pod-graph-bfs-gta6m2zc,,1.932,1.932
2023-03-25 15:00:47.881081,pod-graph-bfs-gta6m2zc,,1.893,1.893
2023-03-25 15:00:50.941032,pod-graph-bfs-gta6m2zc,,1.893,1.893
2023-03-25 15:00:53.999326,pod-graph-bfs-gta6m2zc,,1.887,1.887
2023-03-25 15:00:57.061918,pod-graph-bfs-gta6m2zc,,1.887,1.887
2023-03-25 15:01:00.122807,pod-graph-bfs-4h4x0kce,,1.438,1.438
2023-03-25 15:01:00.122807,pod-graph-bfs-drxckn53,,0.25,0.25
2023-03-25 15:01:03.219628,pod-graph-bfs-4h4x0kce,,1.438,1.438
2023-03-25 15:01:03.219628,pod-graph-bfs-drxckn53,,0.25,0.25
2023-03-25 15:01:06.283139,pod-graph-bfs-4h4x0kce,,1.417,1.417
2023-03-25 15:01:06.283139,pod-graph-bfs-drxckn53,,0.2,0.2
2023-03-25 15:01:09.346273,pod-graph-bfs-4h4x0kce,,1.417,1.417
2023-03-25 15:01:09.346273,pod-graph-bfs-drxckn53,,0.2,0.2
2023-03-25 15:01:12.41128,pod-graph-bfs-4h4x0kce,,1.396,1.396
2023-03-25 15:01:12.41128,pod-graph-bfs-drxckn53,,0.3,0.3
2023-03-25 15:01:15.481665,pod-graph-bfs-4h4x0kce,,1.396,1.396
2023-03-25 15:01:15.481665,pod-graph-bfs-drxckn53,,0.3,0.3
2023-03-25 15:01:18.553786,pod-graph-bfs-4h4x0kce,,1.375,1.375
2023-03-25 15:01:18.553786,pod-graph-bfs-drxckn53,,0.45,0.45
2023-03-25 15:01:21.620942,pod-graph-bfs-4h4x0kce,,1.375,1.375
2023-03-25 15:01:21.620942,pod-graph-bfs-drxckn53,,0.45,0.45
2023-03-25 15:01:24.690523,pod-graph-bfs-4h4x0kce,,1.354,1.354
2023-03-25 15:01:24.690523,pod-graph-bfs-drxckn53,,0.675,0.675
2023-03-25 15:01:27.762415,pod-graph-bfs-4h4x0kce,,1.354,1.354
2023-03-25 15:01:27.762415,pod-graph-bfs-drxckn53,,0.675,0.675
2023-03-25 15:01:00.122807,pod-graph-bfs-gta6m2zc,,1.874,1.874
2023-03-25 15:01:03.219628,pod-graph-bfs-gta6m2zc,,1.874,1.874
2023-03-25 15:01:06.283139,pod-graph-bfs-gta6m2zc,,1.863,1.863
2023-03-25 15:01:09.346273,pod-graph-bfs-gta6m2zc,,1.863,1.863
2023-03-25 15:01:12.41128,pod-graph-bfs-gta6m2zc,,1.86,1.86
2023-03-25 15:01:15.481665,pod-graph-bfs-gta6m2zc,,1.86,1.86
2023-03-25 15:01:18.553786,pod-graph-bfs-gta6m2zc,,1.854,1.854
2023-03-25 15:01:21.620942,pod-graph-bfs-gta6m2zc,,1.854,1.854
2023-03-25 15:01:24.690523,pod-graph-bfs-gta6m2zc,,1.848,1.848
2023-03-25 15:01:27.762415,pod-graph-bfs-gta6m2zc,,1.848,1.848
2023-03-25 15:01:30.835446,pod-graph-bfs-4h4x0kce,,1.333,1.333
2023-03-25 15:01:30.835446,pod-graph-bfs-drxckn53,,0.968,0.968
2023-03-25 15:01:33.942146,pod-graph-bfs-4h4x0kce,,1.333,1.333
2023-03-25 15:01:33.942146,pod-graph-bfs-drxckn53,,0.968,0.968
2023-03-25 15:01:37.012317,pod-graph-bfs-4h4x0kce,,1.312,1.312
2023-03-25 15:01:37.012317,pod-graph-bfs-drxckn53,,1.24,1.24
2023-03-25 15:01:40.084225,pod-graph-bfs-4h4x0kce,,1.312,1.312
2023-03-25 15:01:40.084225,pod-graph-bfs-drxckn53,,1.24,1.24
2023-03-25 15:01:43.155992,pod-graph-bfs-4h4x0kce,,1.291,1.291
2023-03-25 15:01:43.155992,pod-graph-bfs-drxckn53,,1.374,1.374
2023-03-25 15:01:46.225022,pod-graph-bfs-4h4x0kce,,1.291,1.291
2023-03-25 15:01:46.225022,pod-graph-bfs-drxckn53,,1.374,1.374
2023-03-25 15:01:49.293291,pod-graph-bfs-4h4x0kce,,1.27,1.27
2023-03-25 15:01:49.293291,pod-graph-bfs-drxckn53,,1.435,1.435
2023-03-25 15:01:52.364067,pod-graph-bfs-4h4x0kce,,1.27,1.27
2023-03-25 15:01:52.364067,pod-graph-bfs-drxckn53,,1.435,1.435
2023-03-25 15:01:55.433721,pod-graph-bfs-4h4x0kce,,1.249,1.249
2023-03-25 15:01:55.433721,pod-graph-bfs-drxckn53,,1.463,1.463
2023-03-25 15:01:58.499288,pod-graph-bfs-4h4x0kce,,1.249,1.249
2023-03-25 15:01:58.499288,pod-graph-bfs-drxckn53,,1.463,1.463
2023-03-25 15:01:30.835446,pod-graph-bfs-gta6m2zc,,1.842,1.842
2023-03-25 15:01:33.942146,pod-graph-bfs-gta6m2zc,,1.842,1.842
2023-03-25 15:01:37.012317,pod-graph-bfs-gta6m2zc,,1.836,1.836
2023-03-25 15:01:40.084225,pod-graph-bfs-gta6m2zc,,1.836,1.836
2023-03-25 15:01:43.155992,pod-graph-bfs-gta6m2zc,,1.83,1.83
2023-03-25 15:01:46.225022,pod-graph-bfs-gta6m2zc,,1.83,1.83
2023-03-25 15:01:49.293291,pod-graph-bfs-gta6m2zc,,1.824,1.824
2023-03-25 15:01:52.364067,pod-graph-bfs-gta6m2zc,,1.824,1.824
2023-03-25 15:01:55.433721,pod-graph-bfs-gta6m2zc,,1.818,1.818
2023-03-25 15:01:58.499288,pod-graph-bfs-gta6m2zc,,1.818,1.818
2023-03-25 15:02:01.569187,pod-graph-bfs-4h4x0kce,,1.228,1.228
2023-03-25 15:02:01.569187,pod-graph-bfs-drxckn53,,1.51,1.51
2023-03-25 15:02:04.674377,pod-graph-bfs-4h4x0kce,,1.228,1.228
2023-03-25 15:02:04.674377,pod-graph-bfs-drxckn53,,1.51,1.51
2023-03-25 15:02:07.739283,pod-graph-bfs-4h4x0kce,,1.23,1.23
2023-03-25 15:02:07.739283,pod-graph-bfs-drxckn53,,1.553,1.553
2023-03-25 15:02:10.807345,pod-graph-bfs-4h4x0kce,,1.23,1.23
2023-03-25 15:02:10.807345,pod-graph-bfs-drxckn53,,1.553,1.553
2023-03-25 15:02:13.8789,pod-graph-bfs-4h4x0kce,,1.224,1.224
2023-03-25 15:02:13.8789,pod-graph-bfs-drxckn53,,1.544,1.544
2023-03-25 15:02:16.947825,pod-graph-bfs-4h4x0kce,,1.224,1.224
2023-03-25 15:02:16.947825,pod-graph-bfs-drxckn53,,1.544,1.544
2023-03-25 15:02:20.01529,pod-graph-bfs-4h4x0kce,,1.218,1.218
2023-03-25 15:02:20.01529,pod-graph-bfs-drxckn53,,1.546,1.546
2023-03-25 15:02:23.084645,pod-graph-bfs-4h4x0kce,,1.218,1.218
2023-03-25 15:02:23.084645,pod-graph-bfs-drxckn53,,1.546,1.546
2023-03-25 15:02:26.154938,pod-graph-bfs-4h4x0kce,,1.212,1.212
2023-03-25 15:02:26.154938,pod-graph-bfs-drxckn53,,1.535,1.535
2023-03-25 15:02:29.225645,pod-graph-bfs-4h4x0kce,,1.206,1.206
2023-03-25 15:02:29.225645,pod-graph-bfs-drxckn53,,1.529,1.529
2023-03-25 15:02:01.569187,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:04.674377,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:07.739283,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:10.807345,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:13.8789,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:16.947825,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:20.01529,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:23.084645,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:26.154938,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:29.225645,pod-graph-bfs-gta6m2zc,,1.82,1.82
2023-03-25 15:02:32.404659,pod-graph-bfs-4h4x0kce,,1.206,1.206
2023-03-25 15:02:32.404659,pod-graph-bfs-drxckn53,,1.529,1.529
2023-03-25 15:02:35.508319,pod-graph-bfs-4h4x0kce,,1.177,1.177
