timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-26 00:12:34.558983,k3s-master,"",traefik-7f48667fb9-qlznm,kube-system,3,0,0,""
2023-03-26 00:12:34.75849,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-7jdtt,kube-system,5,0,0,""
2023-03-26 00:12:34.958231,ea-k3s-node-eu-west-1-2,"",svclb-traefik-mbq4n,kube-system,0,0,0,""
2023-03-26 00:12:35.158233,ea-k3s-node-eu-west-1-3,"",dispatcher-bshpk,default,1,0,0,""
2023-03-26 00:12:35.358579,k3s-master,"",cpu-monitoring-7bbd5b549b-2qwfp,kube-system,16,0,0,""
2023-03-26 00:12:35.560045,ea-k3s-node-eu-west-1-1,"",svclb-traefik-zpl5n,kube-system,0,0,0,""
2023-03-26 00:12:35.759626,k3s-master,"",custom-metrics-apiserver-8586695c47-f27vj,custom-metrics,4,200,200,""
2023-03-26 00:12:35.957692,ea-k3s-node-eu-west-1-1,"",dispatcher-x7npw,default,1,0,0,""
2023-03-26 00:12:36.158824,k3s-master,"",podscale-controller-57f68c67fc-crw2s,kube-system,3,100,200,""
2023-03-26 00:12:36.358601,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-5wp6f,kube-system,1,100,200,""
2023-03-26 00:12:36.559055,ea-k3s-node-eu-west-1-3,"",workload-5cb5f8bd4d-v5sl7,default,11,0,0,""
2023-03-26 00:12:36.757096,k3s-master,"",allocation-algorithm-77df96cb9b-vvfth,default,1,500,1000,""
2023-03-26 00:12:37.157744,k3s-master,"",svclb-traefik-kxc78,kube-system,0,0,0,""
2023-03-26 00:12:37.357504,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-dxp6n,default,1,100,200,""
2023-03-26 00:12:37.5579,k3s-master,"",monitoring-747bdc64bc-54t8z,default,0,0,0,""
2023-03-26 00:12:42.5622,k3s-master,"",flannel-fixer-deployment-5c468f87f8-rpkzw,kube-system,1,0,0,""
2023-03-26 00:12:42.564771,ea-k3s-node-eu-west-1-1,"",delay-discovery-f8xxd,default,0,0,0,""
2023-03-26 00:12:42.566195,k3s-master,"",delay-discovery-9tndw,default,0,0,0,""
2023-03-26 00:12:42.567612,k3s-master,"",pod-autoscaler-76b6884b54-4z2j4,kube-system,1,500,500,""
2023-03-26 00:12:42.569021,k3s-master,"",community-3-57bf999865-nsnpx,openfaas-fn,1,200,200,""
2023-03-26 00:12:42.570335,ea-k3s-node-eu-west-1-3,"",svclb-traefik-rghbs,kube-system,0,0,0,""
2023-03-26 00:12:42.571614,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-b61anxnd,openfaas-fn,1,675,675,community-3
2023-03-26 00:12:42.573144,ea-k3s-node-eu-west-1-2,"",dispatcher-pmt9x,default,1,0,0,""
2023-03-26 00:12:42.574598,k3s-master,"",traefik-7f48667fb9-qlznm,kube-system,3,0,0,""
2023-03-26 00:12:42.575925,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-7jdtt,kube-system,5,0,0,""
2023-03-26 00:12:42.760597,ea-k3s-node-eu-west-1-2,"",svclb-traefik-mbq4n,kube-system,0,0,0,""
2023-03-26 00:12:42.960957,ea-k3s-node-eu-west-1-2,"",delay-discovery-2zzgb,default,0,0,0,""
2023-03-26 00:12:43.16127,ea-k3s-node-eu-west-1-3,"",dispatcher-bshpk,default,1,0,0,""
2023-03-26 00:12:43.361274,k3s-master,"",cpu-monitoring-7bbd5b549b-2qwfp,kube-system,16,0,0,""
2023-03-26 00:12:43.560452,ea-k3s-node-eu-west-1-1,"",svclb-traefik-zpl5n,kube-system,0,0,0,""
2023-03-26 00:12:43.760571,k3s-master,"",custom-metrics-apiserver-8586695c47-f27vj,custom-metrics,4,200,200,""
2023-03-26 00:12:43.960598,ea-k3s-node-eu-west-1-1,"",dispatcher-x7npw,default,1,0,0,""
2023-03-26 00:12:44.161049,k3s-master,"",podscale-controller-57f68c67fc-crw2s,kube-system,3,100,200,""
