timestamp,node,function,namespace,community,latency,gpu
2023-03-25 20:25:40.567243,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,179,f
2023-03-25 20:25:41.565635,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:25:42.568151,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:25:43.566506,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,93,f
2023-03-25 20:25:44.50369,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,31,f
2023-03-25 20:25:45.438678,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,27,f
2023-03-25 20:25:46.36967,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,27,f
2023-03-25 20:25:47.300584,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,27,f
2023-03-25 20:25:48.230834,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,26,f
2023-03-25 20:25:49.162068,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,27,f
2023-03-25 20:25:50.173566,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,104,f
2023-03-25 20:25:51.171837,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,93,f
2023-03-25 20:25:52.164321,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,88,f
2023-03-25 20:25:53.165419,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:25:54.166495,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:25:55.166799,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:25:56.163672,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:25:57.164799,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:25:58.165368,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,95,f
2023-03-25 20:25:59.162704,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:26:00.166974,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,97,f
2023-03-25 20:26:01.163136,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:26:02.167427,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,100,f
2023-03-25 20:26:03.164125,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:26:04.163713,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:26:05.166655,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:26:06.162862,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:26:07.167446,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,100,f
2023-03-25 20:26:08.163301,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:26:09.167335,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,99,f
2023-03-25 20:26:10.166179,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
