timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-25 22:15:40.227983,k3s-master,"",delay-discovery-gjlk4,default,0,0,0,""
2023-03-25 22:15:40.427997,ea-k3s-node-eu-west-2-3,"",workload-5cb5f8bd4d-stlxm,default,16,0,0,""
2023-03-25 22:15:40.627864,ea-k3s-node-eu-west-2-1,"",delay-discovery-lqqrd,default,2,0,0,""
2023-03-25 22:15:40.826999,k3s-master,"",flannel-fixer-deployment-5c468f87f8-ss8qk,kube-system,1,0,0,""
2023-03-25 22:15:41.027088,k3s-master,"",pod-autoscaler-76b6884b54-724qp,kube-system,3,500,500,""
2023-03-25 22:15:41.227008,ea-k3s-node-eu-west-2-2,"",svclb-traefik-s5k7b,kube-system,0,0,0,""
2023-03-25 22:15:41.427131,k3s-master,"",custom-metrics-apiserver-8586695c47-qqhm6,custom-metrics,5,200,200,""
2023-03-25 22:15:41.626573,k3s-master,"",dispatcher-bqf69,default,1,0,0,""
2023-03-25 22:15:41.826782,ea-k3s-node-eu-west-2-1,"",svclb-traefik-cnjn2,kube-system,0,0,0,""
2023-03-25 22:15:42.026522,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-w9lds,kube-system,6,0,0,""
2023-03-25 22:15:42.226584,k3s-master,"",metrics-server-c6799cf48-c9hf5,kube-system,5,0,0,""
2023-03-25 22:15:42.427557,ea-k3s-node-eu-west-2-3,"",slpa-algorithm-76cd7d9b97-x7x7s,default,1,100,200,""
2023-03-25 22:15:42.627399,ea-k3s-node-eu-west-2-3,"",svclb-traefik-q5j72,kube-system,0,0,0,""
2023-03-25 22:15:42.827509,k3s-master,"",local-path-provisioner-79c4646df5-2cnt6,kube-system,1,0,0,""
2023-03-25 22:15:43.026443,k3s-master,"",podscale-controller-57f68c67fc-hmlm9,kube-system,3,100,200,""
2023-03-25 22:15:43.227351,k3s-master,"",traefik-7f48667fb9-277fz,kube-system,4,0,0,""
2023-03-25 22:15:43.427374,k3s-master,"",community-1-7dddd9c85c-9fd6s,openfaas-fn,1,200,200,""
2023-03-25 22:15:43.627333,k3s-master,"",allocation-algorithm-649945b9dc-s5k8b,default,1,500,1000,""
2023-03-25 22:15:43.827418,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-sncvm,kube-system,1,100,200,""
2023-03-25 22:15:44.026732,ea-k3s-node-eu-west-2-2,"",dispatcher-4ww82,default,1,0,0,""
2023-03-25 22:15:44.226888,k3s-master,"",svclb-traefik-rdcfr,kube-system,0,0,0,""
