timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-25 13:28:21.5707,pod-graph-bfs-hx0gvmki,,0.2,0.2
2023-03-25 13:28:24.618586,pod-graph-bfs-hx0gvmki,,0.3,0.3
2023-03-25 13:28:27.675206,pod-graph-bfs-hx0gvmki,,0.3,0.3
2023-03-25 13:28:30.727294,pod-graph-bfs-hx0gvmki,,0.45,0.45
2023-03-25 13:28:33.80554,pod-graph-bfs-hx0gvmki,,0.45,0.45
2023-03-25 13:28:36.859672,pod-graph-bfs-hx0gvmki,,0.675,0.675
2023-03-25 13:28:36.859672,pod-graph-bfs-jzb4h4x0,,1,1
2023-03-25 13:28:39.923859,pod-graph-bfs-hx0gvmki,,0.675,0.675
2023-03-25 13:28:39.923859,pod-graph-bfs-jzb4h4x0,,1,1
2023-03-25 13:28:42.981106,pod-graph-bfs-hx0gvmki,,0.903,0.903
2023-03-25 13:28:42.981106,pod-graph-bfs-jzb4h4x0,,0.5,0.5
2023-03-25 13:28:46.038393,pod-graph-bfs-hx0gvmki,,0.903,0.903
2023-03-25 13:28:46.038393,pod-graph-bfs-jzb4h4x0,,0.5,0.5
2023-03-25 13:28:49.096305,pod-graph-bfs-hx0gvmki,,1.139,1.139
2023-03-25 13:28:49.096305,pod-graph-bfs-jzb4h4x0,,0.2,0.2
2023-03-25 13:28:52.167294,pod-graph-bfs-hx0gvmki,,1.139,1.139
2023-03-25 13:28:52.167294,pod-graph-bfs-jzb4h4x0,,0.2,0.2
2023-03-25 13:28:55.241241,pod-graph-bfs-hx0gvmki,,1.354,1.354
2023-03-25 13:28:55.241241,pod-graph-bfs-jzb4h4x0,,0.3,0.3
2023-03-25 13:28:58.307739,pod-graph-bfs-hx0gvmki,,1.354,1.354
2023-03-25 13:28:58.307739,pod-graph-bfs-jzb4h4x0,,0.3,0.3
2023-03-25 13:28:36.859672,pod-graph-bfs-kcegta6m,,1,1
2023-03-25 13:28:39.923859,pod-graph-bfs-kcegta6m,,1,1
2023-03-25 13:28:42.981106,pod-graph-bfs-kcegta6m,,0.252,0.252
2023-03-25 13:28:46.038393,pod-graph-bfs-kcegta6m,,0.252,0.252
2023-03-25 13:28:49.096305,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:28:52.167294,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:28:55.241241,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:28:58.307739,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:29:01.376632,pod-graph-bfs-hx0gvmki,,1.361,1.361
2023-03-25 13:29:01.376632,pod-graph-bfs-jzb4h4x0,,0.45,0.45
2023-03-25 13:29:04.484365,pod-graph-bfs-hx0gvmki,,1.361,1.361
2023-03-25 13:29:04.484365,pod-graph-bfs-jzb4h4x0,,0.45,0.45
2023-03-25 13:29:07.551963,pod-graph-bfs-hx0gvmki,,1.264,1.264
2023-03-25 13:29:07.551963,pod-graph-bfs-jzb4h4x0,,0.675,0.675
2023-03-25 13:29:10.617777,pod-graph-bfs-hx0gvmki,,1.264,1.264
2023-03-25 13:29:10.617777,pod-graph-bfs-jzb4h4x0,,0.675,0.675
2023-03-25 13:29:13.683844,pod-graph-bfs-hx0gvmki,,1.217,1.217
2023-03-25 13:29:13.683844,pod-graph-bfs-jzb4h4x0,,1.012,1.012
2023-03-25 13:29:16.747283,pod-graph-bfs-hx0gvmki,,1.164,1.164
2023-03-25 13:29:16.747283,pod-graph-bfs-jzb4h4x0,,1.26,1.26
2023-03-25 13:29:19.815851,pod-graph-bfs-hx0gvmki,,1.164,1.164
2023-03-25 13:29:19.815851,pod-graph-bfs-jzb4h4x0,,1.26,1.26
2023-03-25 13:29:22.882509,pod-graph-bfs-hx0gvmki,,1.123,1.123
2023-03-25 13:29:22.882509,pod-graph-bfs-jzb4h4x0,,1.405,1.405
2023-03-25 13:29:25.949368,pod-graph-bfs-hx0gvmki,,1.123,1.123
2023-03-25 13:29:25.949368,pod-graph-bfs-jzb4h4x0,,1.405,1.405
2023-03-25 13:29:29.015881,pod-graph-bfs-hx0gvmki,,1.079,1.079
2023-03-25 13:29:29.015881,pod-graph-bfs-jzb4h4x0,,1.434,1.434
2023-03-25 13:29:01.376632,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:29:04.484365,pod-graph-bfs-kcegta6m,,0.2,0.2
2023-03-25 13:29:07.551963,pod-graph-bfs-kcegta6m,,0.3,0.3
2023-03-25 13:29:10.617777,pod-graph-bfs-kcegta6m,,0.3,0.3
2023-03-25 13:29:13.683844,pod-graph-bfs-kcegta6m,,0.45,0.45
2023-03-25 13:29:16.747283,pod-graph-bfs-kcegta6m,,0.675,0.675
2023-03-25 13:29:19.815851,pod-graph-bfs-kcegta6m,,0.675,0.675
2023-03-25 13:29:22.882509,pod-graph-bfs-kcegta6m,,0.977,0.977
2023-03-25 13:29:25.949368,pod-graph-bfs-kcegta6m,,0.977,0.977
2023-03-25 13:29:29.015881,pod-graph-bfs-kcegta6m,,1.237,1.237
2023-03-25 13:29:32.082748,pod-graph-bfs-hx0gvmki,,1.079,1.079
2023-03-25 13:29:32.082748,pod-graph-bfs-jzb4h4x0,,1.434,1.434
2023-03-25 13:29:35.188851,pod-graph-bfs-hx0gvmki,,1.035,1.035
2023-03-25 13:29:35.188851,pod-graph-bfs-jzb4h4x0,,1.399,1.399
2023-03-25 13:29:38.256575,pod-graph-bfs-hx0gvmki,,1.035,1.035
2023-03-25 13:29:38.256575,pod-graph-bfs-jzb4h4x0,,1.399,1.399
2023-03-25 13:29:41.323305,pod-graph-bfs-hx0gvmki,,0.991,0.991
