timestamp,node,function,namespace,community,latency,gpu
2023-03-25 20:55:00.606242,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,224,f
2023-03-25 20:55:01.800945,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,289,f
2023-03-25 20:55:02.997732,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,291,f
2023-03-25 20:55:04.19845,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,296,f
2023-03-25 20:55:05.399401,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,296,f
2023-03-25 20:55:06.598811,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,292,f
2023-03-25 20:55:07.638968,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,134,f
2023-03-25 20:55:08.703948,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,159,f
2023-03-25 20:55:09.802692,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,194,f
2023-03-25 20:55:10.905036,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,197,f
2023-03-25 20:55:12.000382,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,188,f
2023-03-25 20:55:13.099702,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,194,f
2023-03-25 20:55:14.119874,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,116,f
2023-03-25 20:55:15.113035,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,88,f
2023-03-25 20:55:16.10516,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,87,f
2023-03-25 20:55:17.113839,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,102,f
2023-03-25 20:55:18.119374,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,101,f
2023-03-25 20:55:19.103727,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,79,f
2023-03-25 20:55:20.104009,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,96,f
2023-03-25 20:55:21.076651,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,68,f
2023-03-25 20:55:22.051496,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,68,f
2023-03-25 20:55:23.022287,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 20:55:23.989793,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:24.995526,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,100,f
2023-03-25 20:55:25.967741,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,68,f
2023-03-25 20:55:26.941702,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 20:55:27.911093,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:28.878397,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:29.846815,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:30.815489,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:31.787504,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:32.756531,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:33.725489,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:34.693878,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:35.662394,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:36.631898,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:37.60047,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:38.568968,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:39.536348,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:40.504496,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:41.476383,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:42.444004,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:43.412616,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:44.397527,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,80,f
2023-03-25 20:55:45.365086,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:46.335811,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,64,f
2023-03-25 20:55:47.305484,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,65,f
2023-03-25 20:55:48.272912,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:55:49.288993,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,110,f
2023-03-25 20:55:50.311896,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,119,f
2023-03-25 20:55:51.322716,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,105,f
2023-03-25 20:55:52.400594,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,174,f
2023-03-25 20:55:53.497623,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,193,f
2023-03-25 20:55:54.60058,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,198,f
2023-03-25 20:55:55.72151,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,216,f
2023-03-25 20:55:56.810747,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,181,f
2023-03-25 20:55:57.905471,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,190,f
2023-03-25 20:55:59.003517,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,194,f
2023-03-25 20:56:00.105025,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,198,f
2023-03-25 20:56:01.20775,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,199,f
2023-03-25 20:56:06.721843,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,88,f
2023-03-25 20:56:07.718234,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,91,f
2023-03-25 20:56:08.689782,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,66,f
2023-03-25 20:56:09.658945,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,65,f
2023-03-25 20:56:10.628245,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,65,f
2023-03-25 20:56:11.600893,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,66,f
2023-03-25 20:56:12.570813,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,65,f
2023-03-25 20:56:13.537462,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:56:14.505266,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:56:15.473142,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
2023-03-25 20:56:16.497719,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,116,f
2023-03-25 20:56:17.505343,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,103,f
2023-03-25 20:56:18.505027,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,95,f
2023-03-25 20:56:19.474586,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 20:56:20.500471,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,121,f
2023-03-25 20:56:21.509935,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,102,f
2023-03-25 20:56:22.510142,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,94,f
2023-03-25 20:56:23.476625,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,63,f
