timestamp,node,function,namespace,community,latency,gpu
2023-03-25 23:21:57.19695,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,218,f
2023-03-25 23:21:58.285341,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,179,f
2023-03-25 23:21:59.385046,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 23:22:00.484815,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 23:22:01.588192,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,198,f
2023-03-25 23:22:02.677585,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,187,f
2023-03-25 23:22:03.773954,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,184,f
2023-03-25 23:22:04.804386,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,128,f
2023-03-25 23:22:05.873411,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,168,f
2023-03-25 23:22:06.980441,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,202,f
2023-03-25 23:22:16.98261,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,58,f
2023-03-25 23:22:17.950144,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,55,f
2023-03-25 23:22:18.909164,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,60,f
2023-03-25 23:22:19.872854,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,60,f
2023-03-25 23:22:20.840434,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:22:21.8045,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:22:22.768072,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,58,f
2023-03-25 23:22:23.729438,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:22:24.691069,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:22:25.670122,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,80,f
2023-03-25 23:22:35.684714,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,66,f
2023-03-25 23:22:36.645379,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:22:37.60546,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:22:38.564461,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:22:39.588726,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,123,f
2023-03-25 23:22:40.763146,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,269,f
2023-03-25 23:22:41.884819,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,210,f
2023-03-25 23:22:42.984155,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 23:22:44.082838,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 23:22:45.10643,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,118,f
2023-03-25 23:22:46.162151,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,153,f
2023-03-25 23:22:47.197975,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,123,f
2023-03-25 23:22:48.198609,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,99,f
2023-03-25 23:22:50.991731,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,75,f
2023-03-25 23:22:51.995232,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,99,f
2023-03-25 23:22:53.88984,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,87,f
2023-03-25 23:22:54.889301,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,95,f
2023-03-25 23:22:55.852614,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,56,f
2023-03-25 23:22:56.814049,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,56,f
2023-03-25 23:22:57.805985,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,87,f
2023-03-25 23:23:06.907741,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,59,f
2023-03-25 23:23:07.910394,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,99,f
2023-03-25 23:24:28.685003,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,165,f
2023-03-25 23:24:29.473166,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,163,f
2023-03-25 23:24:29.775748,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,186,f
2023-03-25 23:24:30.875934,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,196,f
2023-03-25 23:24:31.973755,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 23:24:33.076519,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,199,f
2023-03-25 23:24:34.999683,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,56,f
2023-03-25 23:24:35.969077,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:36.924473,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,56,f
2023-03-25 23:24:37.891919,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:38.559213,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:39.513723,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,56,f
2023-03-25 23:24:40.476014,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
2023-03-25 23:24:40.616564,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:40.831505,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:41.444914,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:41.576542,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:41.793366,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:42.40708,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:42.53651,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:42.748772,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
2023-03-25 23:24:43.367036,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,56,f
2023-03-25 23:24:43.371967,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:43.504826,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,65,f
2023-03-25 23:24:43.716732,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:44.333663,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,58,f
2023-03-25 23:24:44.33522,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:44.46055,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
2023-03-25 23:24:45.296632,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:45.299601,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,67,f
2023-03-25 23:24:45.431367,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:46.260073,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:46.260533,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
2023-03-25 23:24:46.388127,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
2023-03-25 23:24:47.222596,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:47.22711,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:47.3569,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:48.187952,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:48.189176,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:48.317449,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:49.143965,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,56,f
2023-03-25 23:24:49.151275,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,57,f
2023-03-25 23:24:49.196266,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,59,f
2023-03-25 23:24:49.278683,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:49.812386,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,56,f
2023-03-25 23:24:50.105614,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,57,f
