timestamp,node,function,namespace,community,latency,gpu
2023-03-25 11:31:20.829179,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,788,f
2023-03-25 11:31:22.072545,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,337,f
2023-03-25 11:31:23.235398,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,257,f
2023-03-25 11:31:24.748998,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,608,f
2023-03-25 11:31:25.926979,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,272,f
2023-03-25 11:31:27.128649,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,292,f
2023-03-25 11:31:28.170406,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,137,f
2023-03-25 11:31:29.235697,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,161,f
2023-03-25 11:31:30.268747,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,129,f
2023-03-25 11:31:31.2682,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 11:31:32.268042,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:33.327837,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,155,f
2023-03-25 11:31:34.360459,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,128,f
2023-03-25 11:31:35.356882,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:31:36.358237,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 11:31:37.361272,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 11:31:38.358728,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:39.3563,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:40.354593,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 11:31:41.352564,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:42.355952,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 11:31:43.351495,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 11:31:44.347908,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:31:45.347562,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 11:31:46.347243,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 11:31:47.347283,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:48.347282,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 11:31:49.343149,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:31:50.341776,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:31:51.343255,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 11:32:05.898958,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:06.897738,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:07.892705,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 11:32:08.887665,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 11:32:09.88722,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 11:32:10.8919,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 11:32:11.8913,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 11:32:12.891203,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 11:32:13.890226,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 11:32:14.884679,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 11:32:20.402185,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:32:21.398812,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:22.394115,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:32:23.392273,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:24.389348,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:25.389326,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:26.390092,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 11:32:27.386489,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:32:28.382935,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:29.379486,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:30.383765,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 11:32:31.383165,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:32.381218,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:33.379341,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:34.376214,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:35.376235,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:36.371993,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 11:32:37.368661,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 11:32:38.813176,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,539,f
2023-03-25 11:32:39.983221,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,265,f
2023-03-25 11:32:41.032047,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,138,f
2023-03-25 11:32:42.110105,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,171,f
2023-03-25 11:32:43.206009,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,190,f
2023-03-25 11:32:44.305055,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,194,f
2023-03-25 11:32:45.402949,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,193,f
2023-03-25 11:32:46.401797,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:47.4005,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 11:32:48.432318,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,126,f
2023-03-25 11:32:49.42988,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 11:32:50.428906,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-25 11:33:00.463801,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
