timestamp,node,function,namespace,community,latency,gpu
2023-03-25 19:34:43.120446,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,239,f
2023-03-25 19:34:44.294336,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,267,f
2023-03-25 19:34:45.409772,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,211,f
2023-03-25 19:34:46.625737,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,313,f
2023-03-25 19:34:47.82195,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,292,f
2023-03-25 19:34:53.3918,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,142,f
2023-03-25 19:34:54.603674,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,308,f
2023-03-25 19:34:55.61193,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,101,f
2023-03-25 19:34:56.712209,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,198,f
2023-03-25 19:34:57.704884,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,86,f
2023-03-25 19:34:58.707323,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,95,f
2023-03-25 19:34:59.802996,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,192,f
2023-03-25 19:35:00.803692,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,94,f
2023-03-25 19:35:01.776934,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,70,f
2023-03-25 19:35:02.789587,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,106,f
2023-03-25 19:35:17.315097,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,64,f
2023-03-25 19:35:18.284781,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,66,f
2023-03-25 19:35:19.253287,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 19:35:20.223147,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,65,f
2023-03-25 19:35:21.192601,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,63,f
2023-03-25 19:35:26.701682,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,83,f
2023-03-25 19:35:27.694341,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,87,f
2023-03-25 19:35:28.695837,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,96,f
2023-03-25 19:35:29.713128,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,113,f
2023-03-25 19:35:30.695604,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,75,f
2023-03-25 19:35:31.667545,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 19:35:32.637843,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 19:35:33.608171,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,64,f
2023-03-25 19:35:34.607145,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,95,f
2023-03-25 19:35:35.613158,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,103,f
2023-03-25 19:35:41.203492,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,164,f
2023-03-25 19:35:42.20492,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,99,f
2023-03-25 19:35:43.395423,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,284,f
2023-03-25 19:35:44.508953,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,211,f
2023-03-25 19:35:45.596903,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,183,f
2023-03-25 19:35:46.794582,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,288,f
2023-03-25 19:35:47.766304,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 19:35:48.895928,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,222,f
2023-03-25 19:35:49.995486,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,194,f
2023-03-25 19:35:51.021048,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,122,f
2023-03-25 19:35:52.01773,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,86,f
2023-03-25 19:35:53.01987,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,98,f
2023-03-25 19:35:54.018886,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,94,f
2023-03-25 19:35:55.024043,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-25 19:35:56.009558,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,79,f
2023-03-25 19:37:02.726349,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,549,f
2023-03-25 19:37:08.79263,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,640,f
2023-03-25 19:37:10.406863,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,710,f
2023-03-25 19:37:11.602421,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,291,f
2023-03-25 19:37:12.634721,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,126,f
2023-03-25 19:37:13.698914,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,158,f
2023-03-25 19:37:27.124868,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,244,f
2023-03-25 19:37:28.08945,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,60,f
2023-03-25 19:37:28.223059,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,62,f
2023-03-25 19:37:29.056879,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,64,f
2023-03-25 19:37:29.186395,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,59,f
2023-03-25 19:37:30.026522,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,62,f
2023-03-25 19:37:30.148515,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,58,f
2023-03-25 19:37:30.996828,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,63,f
2023-03-25 19:37:31.11277,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,60,f
2023-03-25 19:37:31.961806,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,60,f
2023-03-25 19:37:32.080443,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,62,f
2023-03-25 19:37:32.931071,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,62,f
2023-03-25 19:37:33.899477,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,63,f
2023-03-25 19:37:34.867917,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,63,f
2023-03-25 19:37:35.833951,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,60,f
2023-03-25 19:37:36.79885,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,61,f
2023-03-25 19:37:37.764452,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,61,f
2023-03-25 19:37:38.731021,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,61,f
2023-03-25 19:37:39.698244,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,62,f
2023-03-25 19:37:42.090593,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,69,f
2023-03-25 19:37:43.061558,graph-mst,ea-k3s-node-eu-west-1-1,openfaas-fn,community-3,66,f
2023-03-25 19:37:44.027963,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,61,f
2023-03-25 19:37:45.016231,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,83,f
2023-03-25 19:37:46.021291,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 19:37:51.074847,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,62,f
2023-03-25 19:37:51.514721,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,62,f
2023-03-25 19:37:52.04172,graph-mst,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,61,f
