timestamp,node,function,namespace,community,latency,gpu
2023-03-25 09:39:52.235389,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,355,f
2023-03-25 09:39:53.537122,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,395,f
2023-03-25 09:39:54.83903,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,395,f
2023-03-25 09:39:56.138638,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,394,f
2023-03-25 09:39:57.405232,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,361,f
2023-03-25 09:39:58.543316,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,231,f
2023-03-25 09:39:59.729178,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,279,f
2023-03-25 09:40:00.92904,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,295,f
2023-03-25 09:40:02.128933,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,295,f
2023-03-25 09:40:03.329969,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,296,f
2023-03-25 09:40:09.183111,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,374,f
2023-03-25 09:40:10.478356,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,392,f
2023-03-25 09:40:11.775776,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,394,f
2023-03-25 09:40:13.077914,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,398,f
2023-03-25 09:40:14.380668,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,400,f
2023-03-25 09:40:15.337392,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,103,f
2023-03-25 09:40:16.335089,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 09:40:17.335746,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 09:40:18.333974,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 09:40:19.331245,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,91,f
2023-03-25 09:40:20.331922,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 09:40:21.33367,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 09:40:22.333299,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 09:40:23.332741,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,93,f
2023-03-25 09:40:24.334828,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,97,f
2023-03-25 09:40:29.905581,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,92,f
2023-03-25 09:40:30.903831,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,94,f
2023-03-25 09:40:31.902016,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,94,f
2023-03-25 09:40:32.898207,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,93,f
2023-03-25 09:40:33.893345,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,92,f
2023-03-25 09:40:34.890054,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,90,f
2023-03-25 09:40:35.886932,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,93,f
