timestamp,node,function,namespace,community,latency,gpu
2023-03-25 16:35:40.328615,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,232,f
2023-03-25 16:35:41.520671,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,288,f
2023-03-25 16:35:42.628045,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,203,f
2023-03-25 16:35:43.712829,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,181,f
2023-03-25 16:35:44.821631,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,204,f
2023-03-25 16:35:50.331342,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,84,f
2023-03-25 16:35:51.333173,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,97,f
2023-03-25 16:35:52.329435,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:35:53.330103,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:35:54.324599,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-25 16:36:08.856447,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:36:09.830069,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,69,f
2023-03-25 16:36:10.802316,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,67,f
2023-03-25 16:36:11.773452,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:36:12.747846,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,69,f
2023-03-25 16:36:13.725778,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:36:14.698481,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,67,f
2023-03-25 16:36:15.669037,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,65,f
2023-03-25 16:36:16.640887,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,67,f
2023-03-25 16:36:17.612624,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,63,f
2023-03-25 16:36:18.621611,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-25 16:36:19.596461,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,69,f
2023-03-25 16:36:20.569022,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,67,f
2023-03-25 16:36:21.542095,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:36:22.512613,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:36:28.033751,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:36:29.0357,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,97,f
2023-03-25 16:36:30.213078,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,273,f
2023-03-25 16:36:31.330247,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,213,f
2023-03-25 16:36:32.42985,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,196,f
2023-03-25 16:36:33.528981,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,192,f
2023-03-25 16:36:34.629199,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,195,f
2023-03-25 16:36:35.730464,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,196,f
2023-03-25 16:36:36.748609,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,114,f
2023-03-25 16:36:37.74073,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,87,f
2023-03-25 16:36:38.740342,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:36:39.739243,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-25 16:36:40.739702,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:36:41.741363,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:36:42.740495,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-25 16:36:43.732465,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,85,f
2023-03-25 16:36:44.731465,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-25 16:36:45.733791,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:36:46.736848,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:36:47.735431,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-25 16:36:48.734634,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-25 16:36:49.725268,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,86,f
2023-03-25 16:36:50.728812,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-25 16:36:51.722125,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,88,f
2023-03-25 16:36:52.725158,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:36:53.725881,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,93,f
2023-03-25 16:36:54.724638,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,93,f
2023-03-25 16:36:55.694278,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,64,f
2023-03-25 16:36:56.663102,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,64,f
2023-03-25 16:36:57.633767,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:36:58.615476,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,75,f
2023-03-25 16:36:59.61521,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:37:00.620602,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-25 16:37:01.590301,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:37:02.55967,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:37:03.535255,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:37:04.505064,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,65,f
2023-03-25 16:37:05.476481,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,66,f
2023-03-25 16:37:06.449089,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:37:07.431614,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,78,f
2023-03-25 16:37:08.428234,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-25 16:37:09.428184,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-25 16:37:10.426899,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,93,f
2023-03-25 16:37:11.430414,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-25 16:37:12.443072,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,108,f
2023-03-25 16:37:17.938177,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,70,f
2023-03-25 16:37:19.02742,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,184,f
2023-03-25 16:37:20.119937,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,188,f
2023-03-25 16:37:21.218335,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,193,f
2023-03-25 16:37:22.319059,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,196,f
2023-03-25 16:37:23.41782,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,190,f
2023-03-25 16:37:24.437994,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,116,f
2023-03-25 16:37:25.444553,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,102,f
2023-03-25 16:37:26.440939,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,91,f
2023-03-25 16:37:27.438121,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:37:28.437814,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:37:29.439075,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:37:30.443078,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,99,f
2023-03-25 16:37:31.439885,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:37:32.435894,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,91,f
2023-03-25 16:37:37.937714,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,77,f
2023-03-25 16:37:38.927421,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,84,f
2023-03-25 16:37:39.928087,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:37:40.928874,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:37:41.933234,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,100,f
2023-03-25 16:37:42.931452,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,90,f
2023-03-25 16:37:43.937734,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,101,f
2023-03-25 16:37:44.924803,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,82,f
2023-03-25 16:37:45.923836,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-25 16:37:46.92507,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,96,f
2023-03-25 16:37:47.921008,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,89,f
2023-03-25 16:37:48.928132,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,103,f
2023-03-25 16:37:49.917964,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,86,f
2023-03-25 16:37:50.920179,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,98,f
2023-03-25 16:37:51.918081,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-25 16:37:52.920031,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-25 16:37:53.260111,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,68,f
2023-03-25 16:37:53.919216,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,95,f
2023-03-25 16:37:54.233411,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,69,f
2023-03-25 16:37:54.93228,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,108,f
2023-03-25 16:37:55.229269,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:37:55.929646,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,92,f
2023-03-25 16:37:56.227363,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,94,f
2023-03-25 16:37:56.923602,graph-mst,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,89,f
