timestamp,node,function,namespace,community,latency,gpu
2023-03-25 10:34:11.740874,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,367,f
2023-03-25 10:34:13.040583,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,393,f
2023-03-25 10:34:14.336659,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,390,f
2023-03-25 10:34:15.637029,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,395,f
2023-03-25 10:34:16.83576,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,294,f
2023-03-25 10:34:22.435695,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,173,f
2023-03-25 10:34:23.528124,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,187,f
2023-03-25 10:34:24.625882,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,192,f
2023-03-25 10:34:25.672417,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,142,f
2023-03-25 10:34:26.726426,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,150,f
2023-03-25 10:34:27.764238,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,129,f
2023-03-25 10:34:28.761263,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 10:34:29.758503,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,91,f
2023-03-25 10:34:30.756731,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 10:34:31.753052,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,90,f
2023-03-25 10:34:32.754767,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 10:34:33.759564,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,100,f
2023-03-25 10:34:34.760601,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 10:34:35.75859,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 10:34:36.758216,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 10:34:42.276869,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,92,f
2023-03-25 10:34:43.276283,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,93,f
2023-03-25 10:34:44.276155,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 10:34:45.275502,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 10:34:46.274667,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 10:34:47.276479,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,94,f
2023-03-25 10:34:48.277351,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
2023-03-25 10:34:49.277828,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,96,f
