timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-25 17:51:58.660492,k3s-master,"",delay-discovery-dpz8j,default,0,0,0,""
2023-03-25 17:51:58.860384,ea-k3s-node-eu-west-1-1,"",svclb-traefik-qzlgg,kube-system,0,0,0,""
2023-03-25 17:51:59.060532,k3s-master,"",svclb-traefik-xmh9g,kube-system,0,0,0,""
2023-03-25 17:51:59.26057,k3s-master,"",flannel-fixer-deployment-5c468f87f8-nbrl6,kube-system,1,0,0,""
2023-03-25 17:51:59.460709,ea-k3s-node-eu-west-1-2,graph-mst,graph-mst-yilbb83n,openfaas-fn,1,200,200,community-3
2023-03-25 17:51:59.661924,ea-k3s-node-eu-west-1-3,"",workload-5cb5f8bd4d-nb4r7,default,1,0,0,""
2023-03-25 17:51:59.861674,ea-k3s-node-eu-west-1-2,"",dispatcher-zxtrs,default,1,0,0,""
2023-03-25 17:52:00.061782,ea-k3s-node-eu-west-1-1,"",dispatcher-5b22m,default,1,0,0,""
2023-03-25 17:52:00.261828,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-679c5fcc65-htzqq,default,1,500,1000,""
2023-03-25 17:52:00.461771,k3s-master,"",metrics-server-c6799cf48-j5wtp,kube-system,5,0,0,""
2023-03-25 17:52:00.662318,ea-k3s-node-eu-west-1-3,"",dispatcher-xc5gx,default,1,0,0,""
2023-03-25 17:52:00.86163,k3s-master,"",traefik-7f48667fb9-s6qcf,kube-system,3,0,0,""
2023-03-25 17:52:01.062342,ea-k3s-node-eu-west-1-2,"",edge-system-controller-847d657d8b-hrcl5,kube-system,1,100,200,""
2023-03-25 17:52:01.261695,k3s-master,"",pod-autoscaler-76b6884b54-dtzjd,kube-system,2,500,500,""
2023-03-25 17:52:01.462372,k3s-master,"",coredns-5b5bf59798-nbxjz,kube-system,3,0,0,""
2023-03-25 17:52:01.662344,ea-k3s-node-eu-west-1-1,"",delay-discovery-mwvzb,default,0,0,0,""
2023-03-25 17:52:01.862143,k3s-master,"",podscale-controller-57f68c67fc-zmnm4,kube-system,4,100,200,""
2023-03-25 17:52:06.865447,ea-k3s-node-eu-west-1-1,"",svclb-traefik-qzlgg,kube-system,0,0,0,""
2023-03-25 17:52:06.867652,k3s-master,"",svclb-traefik-xmh9g,kube-system,0,0,0,""
2023-03-25 17:52:06.870598,k3s-master,"",flannel-fixer-deployment-5c468f87f8-nbrl6,kube-system,1,0,0,""
2023-03-25 17:52:06.872657,ea-k3s-node-eu-west-1-2,graph-mst,graph-mst-yilbb83n,openfaas-fn,1,450,450,community-3
2023-03-25 17:52:06.873782,ea-k3s-node-eu-west-1-3,"",workload-5cb5f8bd4d-nb4r7,default,1,0,0,""
2023-03-25 17:52:06.874864,ea-k3s-node-eu-west-1-2,"",dispatcher-zxtrs,default,1,0,0,""
2023-03-25 17:52:06.876212,ea-k3s-node-eu-west-1-1,"",dispatcher-5b22m,default,1,0,0,""
2023-03-25 17:52:06.877607,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-679c5fcc65-htzqq,default,1,500,1000,""
2023-03-25 17:52:06.878682,k3s-master,"",metrics-server-c6799cf48-j5wtp,kube-system,5,0,0,""
2023-03-25 17:52:06.879821,ea-k3s-node-eu-west-1-3,"",dispatcher-xc5gx,default,1,0,0,""
2023-03-25 17:52:07.064623,k3s-master,"",traefik-7f48667fb9-s6qcf,kube-system,3,0,0,""
2023-03-25 17:52:07.264566,ea-k3s-node-eu-west-1-2,"",edge-system-controller-847d657d8b-hrcl5,kube-system,1,100,200,""
2023-03-25 17:52:07.464705,k3s-master,"",pod-autoscaler-76b6884b54-dtzjd,kube-system,2,500,500,""
2023-03-25 17:52:07.664862,k3s-master,"",coredns-5b5bf59798-nbxjz,kube-system,3,0,0,""
2023-03-25 17:52:07.865049,ea-k3s-node-eu-west-1-1,"",delay-discovery-mwvzb,default,0,0,0,""
2023-03-25 17:52:08.065257,k3s-master,"",podscale-controller-57f68c67fc-zmnm4,kube-system,4,100,200,""
2023-03-25 17:52:08.265723,k3s-master,"",monitoring-747bdc64bc-fmxc2,default,0,0,0,""
2023-03-25 17:52:08.466955,ea-k3s-node-eu-west-1-2,"",delay-discovery-679qq,default,0,0,0,""
